slug,storm_name,r_bin_km,phi_mean,n_tiles_mean,n_tiles_crisis_mean,n_tiles_overlap_mean,baseline_sum_mean,crisis_sum_mean,n_eff_mean,r_center_km,abs_dev
hurricane_beryl_across_southeastern_texas_us,Beryl,140.0,0.9668824537507819,480.75,483.0,449.0,54451.9605186004,52645.950814799704,480.75,145.0,0.033117546249218144
hurricane_beryl_across_southeastern_texas_us,Beryl,150.0,0.9677164100765872,422.5,426.5,396.5,93067.82963366454,90062.4710728205,422.5,155.0,0.03228358992341285
hurricane_beryl_across_southeastern_texas_us,Beryl,160.0,0.9761636006446859,523.5,522.0,486.5,45787.69442570261,44696.25558642226,522.0,165.0,0.02383639935531412
hurricane_beryl_across_southeastern_texas_us,Beryl,170.0,0.957442372665128,611.5,617.0,579.25,45589.741262241936,43648.357443434856,611.5,175.0,0.042557627334872006
hurricane_beryl_across_southeastern_texas_us,Beryl,180.0,0.9723023531104951,751.5,746.0,722.5,99839.9798013478,97073.55387942906,746.0,185.0,0.027697646889504934
hurricane_beryl_across_southeastern_texas_us,Beryl,190.0,0.9756062822337889,764.75,767.0,732.0,153988.2747022487,150232.49518904072,764.75,195.0,0.02439371776621113
hurricane_beryl_across_southeastern_texas_us,Beryl,200.0,0.9671212972626397,840.75,838.25,811.25,263189.4377370381,254532.90991016832,838.25,205.0,0.032878702737360266
hurricane_beryl_across_southeastern_texas_us,Beryl,210.0,0.9661290876177517,800.0,793.0,764.5,139200.1823032099,134485.38672567025,793.0,215.0,0.033870912382248264
hurricane_beryl_across_southeastern_texas_us,Beryl,220.0,0.977764914039052,760.75,757.0,735.5,125178.61647081091,122396.07088483086,757.0,225.0,0.02223508596094803
hurricane_beryl_across_southeastern_texas_us,Beryl,230.0,0.9725600773216533,703.0,703.0,671.75,83038.91882735111,80763.74477400823,703.0,235.0,0.027439922678346718
hurricane_beryl_across_southeastern_texas_us,Beryl,240.0,0.9757344176723466,660.75,668.25,642.25,138799.7278346495,135432.79783895597,660.75,245.0,0.024265582327653412
hurricane_beryl_across_southeastern_texas_us,Beryl,250.0,0.9636646902480377,479.0,472.5,453.75,171572.05593449075,165336.56725843606,472.5,255.0,0.03633530975196231
hurricane_beryl_across_southeastern_texas_us,Beryl,260.0,0.9721363902792669,432.75,433.5,411.0,131824.7687253593,128149.16098659273,432.75,265.0,0.027863609720733096
hurricane_beryl_across_southeastern_texas_us,Beryl,270.0,0.9770480142596051,414.25,406.25,390.0,84082.40879449148,82153.67641042196,406.25,275.0,0.02295198574039492
hurricane_beryl_across_southeastern_texas_us,Beryl,280.0,0.9684092043667797,313.25,311.75,299.0,28077.23301316936,27190.965536540505,311.75,285.0,0.031590795633220314
hurricane_beryl_across_southeastern_texas_us,Beryl,290.0,0.9605790534954864,144.75,143.25,130.0,5620.452715727092,5398.69988472336,143.25,295.0,0.039420946504513554
hurricane_beryl_across_southeastern_texas_us,Beryl,300.0,0.9711241099262188,99.5,98.0,93.75,6069.8318895423035,5893.941054721168,98.0,305.0,0.02887589007378122
hurricane_beryl_across_southeastern_texas_us,Beryl,310.0,0.9122474813702506,82.5,82.0,79.75,7949.7790413265975,7251.048152759959,82.0,315.0,0.08775251862974942
hurricane_milton_across_florida_us,Milton,0.0,1.0633644657229584,587.0,570.0,550.0,200219.95080829185,212836.31479839186,570.0,5.0,0.0633644657229584
hurricane_milton_across_florida_us,Milton,10.0,1.0790405624000492,645.75,636.5,610.5,225868.29555745114,243800.53324940524,636.5,15.0,0.0790405624000492
hurricane_milton_across_florida_us,Milton,20.0,1.0580660662824288,605.0,602.0,580.75,284945.3006563763,301565.9684512419,602.0,25.0,0.05806606628242883
hurricane_milton_across_florida_us,Milton,30.0,1.0607607781460553,522.75,510.25,498.5,338533.0888086606,359087.1970699867,510.25,35.0,0.060760778146055294
hurricane_milton_across_florida_us,Milton,40.0,0.9784561405964571,582.5,578.0,565.5,296366.7229291548,289542.9532259633,578.0,45.0,0.021543859403542864
hurricane_milton_across_florida_us,Milton,50.0,0.9747279999221452,576.25,567.5,561.75,317649.07387570833,309194.53164978116,567.5,55.0,0.025272000077854795
hurricane_milton_across_florida_us,Milton,60.0,1.048642167158993,555.75,542.0,532.0,227274.0529191909,238449.7714223711,542.0,65.0,0.048642167158992944
hurricane_milton_across_florida_us,Milton,70.0,1.0943812984358692,558.5,551.5,538.5,137335.34062974935,150366.5090858332,551.5,75.0,0.09438129843586918
hurricane_milton_across_florida_us,Milton,80.0,1.1041721484653533,534.75,531.5,509.75,128563.73458279652,142005.50070377113,531.5,85.0,0.10417214846535328
hurricane_milton_across_florida_us,Milton,90.0,1.0975442740340677,512.25,511.25,496.0,176774.5542176956,194045.2125566357,511.25,95.0,0.09754427403406774
hurricane_milton_across_florida_us,Milton,100.0,1.0924754619975237,491.75,505.25,478.25,129140.014906175,140972.0600755735,491.75,105.0,0.09247546199752366
hurricane_milton_across_florida_us,Milton,110.0,1.1653915814713776,453.75,456.0,440.75,92071.46710247925,107290.18813309459,453.75,115.0,0.16539158147137756
hurricane_milton_across_florida_us,Milton,120.0,1.1733622756219033,420.0,424.5,407.75,96120.69648067516,112751.14865602969,420.0,125.0,0.17336227562190332
hurricane_milton_across_florida_us,Milton,130.0,1.1470936702751098,411.75,419.25,403.5,119800.52721627636,137422.27575682593,411.75,135.0,0.14709367027510978
hurricane_milton_across_florida_us,Milton,140.0,1.1499011487077224,406.75,413.75,395.25,82360.1755613761,94678.80395529952,406.75,145.0,0.14990114870772242
hurricane_milton_across_florida_us,Milton,150.0,1.1960233675563308,424.0,433.75,409.75,50970.27893409892,60917.5808099391,424.0,155.0,0.19602336755633076
hurricane_milton_across_florida_us,Milton,160.0,1.1339523245798317,342.5,367.25,330.25,30593.647553720268,34688.7872755165,342.5,165.0,0.13395232457983175
hurricane_milton_across_florida_us,Milton,170.0,1.1007608609382724,293.0,309.0,282.5,40904.957247660655,45016.792766500446,293.0,175.0,0.10076086093827241
