"coverage","country","lon","lat"
"1","BD","90.933837890625","24.716895055786644"
"1","BD","89.263916015625","25.195000018574895"
"1","BD","89.263916015625","23.25144013501898"
"1","BD","91.395263671875","25.115444992263352"
"1","BD","90.648193359375","22.72552343577122"
"1","BD","90.406494140625","24.437147464906445"
"1","BD","90.75805664062501","22.968508644235623"
"1","BD","89.527587890625","24.956179617136517"
"1","BD","89.39575195312501","22.948276478701366"
"1","BD","89.02221679687499","23.634459384145302"
"1","BD","91.439208984375","24.196868525459625"
"1","BD","90.20874023437499","23.89588231358835"
"1","IN","88.516845703125","22.52270533078928"
"1","BD","90.538330078125","24.25698092135952"
"1","BD","89.154052734375","24.517139052850318"
"1","BD","90.186767578125","22.82682002392184"
"1","IN","88.538818359375","24.25698092135952"
"1","IN","88.56079101562499","22.299261129961607"
"1","BD","88.341064453125","24.497145923138127"
"1","IN","92.38403320312501","25.195000018574895"
"1","BD","90.164794921875","23.735068800857363"
"1","BD","90.780029296875","25.03583815177413"
"1","BD","91.81274414062501","22.624151784081896"
"1","BD","91.13159179687499","23.915969980167954"
"1","BD","88.956298828125","25.095548135039717"
"1","BD","89.98901367187501","23.029186967531377"
"1","BD","91.10961914062499","23.634459384145302"
"1","BD","89.154052734375","24.29704007430116"
"1","BD","91.790771484375","22.847070310956738"
"1","BD","90.933837890625","25.07564804130032"
"1","IN","91.702880859375","25.29437075569332"
"1","BD","92.406005859375","24.896401864347848"
"1","BD","90.845947265625","22.867317582933374"
"1","IN","88.341064453125","23.97621423555342"
"1","BD","89.46166992187501","24.03643033284194"
"1","IN","88.648681640625","25.2745031111573"
"1","BD","89.176025390625","25.175116126122305"
"1","BD","89.791259765625","24.41714162890485"
"1","BD","90.05493164062501","22.80656672390966"
"1","BD","90.252685546875","24.11667456894173"
"1","BD","90.604248046875","23.190862195603998"
"1","BD","88.670654296875","25.115444992263352"
"1","BD","90.53833007812501","24.357105098229884"
"1","BD","90.340576171875","25.115444992263352"
"1","IN","92.142333984375","25.373808763723552"
"1","BD","90.626220703125","24.016361432384212"
"1","BD","90.208740234375","24.41714162890485"
"1","IN","88.736572265625","22.664709435643758"
"1","BD","90.516357421875","24.736853084459494"
"1","BD","89.219970703125","22.705255102150815"
"1","BD","91.922607421875","22.583582164250842"
"1","BD","89.813232421875","24.657001773923298"
"1","IN","88.560791015625","22.867317582933374"
"1","BD","89.989013671875","25.21488066516708"
"1","BD","90.230712890625","22.56329287148779"
"1","BD","89.329833984375","22.543000592965154"
"1","BD","90.340576171875","22.319589072788325"
"1","BD","89.285888671875","24.437147464906445"
"1","BD","89.132080078125","25.135338611098536"
"1","IN","88.86840820312499","22.948276478701366"
"1","BD","91.878662109375","24.437147464906445"
"1","IN","91.417236328125","23.291810149894445"
"1","BD","91.680908203125","24.497145923138127"
"1","BD","89.571533203125","24.55711576615336"
"1","BD","91.02172851562499","23.35234221426967"
"1","BD","89.373779296875","23.594193939857142"
"1","IN","88.516845703125","25.314235145071"
"1","BD","91.702880859375","22.80656672390966"
"1","IN","92.296142578125","24.597079738459655"
"1","BD","92.120361328125","24.91633100215179"
"1","BD","90.802001953125","23.71495311913835"
"1","BD","89.637451171875","22.46180166343271"
"1","BD","89.703369140625","24.876469508857305"
"1","BD","90.032958984375","23.453167631336054"
"1","BD","90.362548828125","22.867317582933374"
"1","BD","90.78002929687501","24.97609909054028"
"1","BD","90.714111328125","23.11004891711349"
"1","BD","91.08764648437501","23.89588231358835"
"1","BD","89.04418945312499","22.705255102150815"
"1","BD","88.956298828125","22.907803073397048"
"1","BD","91.549072265625","24.836595152390945"
"1","BD","89.989013671875","23.31199056778366"
"1","BD","89.967041015625","23.936054524009784"
"1","IN","88.45092773437501","22.705255102150815"
"1","BD","90.186767578125","25.015928359741995"
"1","IN","88.824462890625","22.766051093286443"
"1","BD","89.81323242187499","24.597079738459655"
"1","BD","89.04418945312499","24.776759532431658"
"1","BD","89.219970703125","23.11004891711349"
"1","BD","91.724853515625","24.477149613956207"
"1","BD","90.60424804687499","24.956179617136517"
"1","BD","90.05493164062501","24.716895055786644"
"1","IN","88.516845703125","24.056496098696716"
"1","BD","88.428955078125","24.896401864347848"
"1","BD","88.758544921875","24.956179617136517"
"1","BD","90.51635742187501","22.583582164250842"
"1","BD","89.791259765625","24.09661821871491"
"1","BD","89.241943359375","23.11004891711349"
"1","BD","91.065673828125","23.956135943131706"
"1","BD","91.856689453125","24.63703095439319"
"1","BD","90.076904296875","24.597079738459655"
"1","BD","91.900634765625","22.360236075222442"
"1","BD","90.802001953125","24.97609909054028"
"1","BD","90.494384765625","23.574056580547662"
"1","BD","91.593017578125","24.577099345892794"
"1","BD","89.945068359375","22.78631041300299"
"1","BD","90.692138671875","23.453167631336054"
"1","BD","89.505615234375","24.29704007430116"
"1","BD","89.24194335937499","22.441494487743405"
"1","BD","88.912353515625","23.815500459599683"
"1","BD","89.32983398437501","22.33991405525066"
"1","IN","90.054931640625","25.2745031111573"
"1","BD","89.263916015625","24.016361432384212"
"1","BD","88.956298828125","24.91633100215179"
"1","BD","88.670654296875","24.75680791064323"
"1","BD","89.329833984375","22.482105863912203"
"1","BD","91.329345703125","24.25698092135952"
"1","BD","91.307373046875","24.11667456894173"
"1","BD","89.329833984375","24.41714162890485"
"1","BD","89.57153320312501","22.52270533078928"
"1","BD","89.483642578125","23.915969980167954"
"1","BD","89.945068359375","22.319589072788325"
"1","BD","89.373779296875","22.644432106946258"
"1","BD","90.88989257812499","23.433008693093505"
"1","BD","89.132080078125","22.907803073397048"
"1","BD","92.230224609375","23.11004891711349"
"1","BD","91.351318359375","24.216909143687186"
"1","IN","91.571044921875","23.654587465102644"
"1","IN","91.70288085937499","23.1504616484672"
"1","IN","91.35131835937501","23.453167631336054"
"1","IN","91.483154296875","23.7551813777608"
"1","BD","91.966552734375","24.736853084459494"
"1","BD","89.439697265625","24.33708658691357"
"1","BD","90.823974609375","23.291810149894445"
"1","BD","91.85668945312499","23.04940701063951"
"1","IN","88.45092773437501","24.09661821871491"
"1","BD","89.593505859375","22.887561837772594"
"1","IN","92.406005859375","24.61705694193286"
"1","IN","92.230224609375","24.03643033284194"
"1","IN","88.80249023437499","23.069624017979585"
"1","BD","88.736572265625","24.397132621166076"
"1","BD","91.636962890625","24.996015338703387"
"1","BD","89.395751953125","22.847070310956738"
"1","BD","88.582763671875","24.876469508857305"
"1","BD","90.406494140625","25.1552289896745"
"1","BD","90.45043945312499","22.238259560584048"
"1","BD","88.51684570312499","24.956179617136517"
"1","BD","89.85717773437501","23.25144013501898"
"1","BD","91.131591796875","22.278930228898506"
"1","BD","90.802001953125","22.482105863912203"
"1","IN","88.582763671875","22.46180166343271"
"1","BD","91.527099609375","24.896401864347848"
"1","IN","88.604736328125","24.277012076897286"
"1","IN","91.50512695312501","23.33216792325447"
"1","BD","88.890380859375","23.392681594793395"
"1","BD","88.714599609375","25.175116126122305"
"1","BD","90.933837890625","23.594193939857142"
"1","BD","91.26342773437501","24.75680791064323"
"1","IN","88.934326171875","22.543000592965154"
"1","BD","89.417724609375","23.77529084784995"
"1","BD","90.758056640625","23.33216792325447"
"1","BD","89.813232421875","25.1552289896745"
"1","BD","88.89038085937499","25.115444992263352"
"1","BD","90.208740234375","24.317064911622275"
"1","BD","91.483154296875","25.07564804130032"
"1","IN","92.384033203125","24.37712044362788"
"1","BD","90.274658203125","23.493476275874883"
"1","BD","88.34106445312501","24.41714162890485"
"1","IN","88.45092773437499","23.37251343879384"
"1","BD","89.813232421875","24.517139052850318"
"1","IN","88.824462890625","23.089837987490625"
"1","BD","90.889892578125","24.61705694193286"
"1","BD","90.867919921875","24.056496098696716"
"1","BD","89.725341796875","25.334096277436352"
"1","IN","88.472900390625","23.694834334604323"
"1","BD","88.604736328125","24.55711576615336"
"1","BD","89.132080078125","23.7551813777608"
"1","BD","92.186279296875","22.380555130579296"
"1","BD","89.571533203125","22.78631041300299"
"1","BD","91.900634765625","24.41714162890485"
"1","IN","88.34106445312501","25.314235145071"
"1","IN","88.670654296875","23.956135943131706"
"1","BD","89.37377929687499","24.676969398607696"
"1","IN","88.49487304687499","23.392681594793395"
"1","IN","88.516845703125","22.46180166343271"
"1","IN","91.68090820312501","23.735068800857363"
"1","BD","89.307861328125","25.135338611098536"
"1","IN","88.45092773437499","25.1552289896745"
"1","BD","89.46166992187499","24.357105098229884"
"1","BD","89.439697265625","23.674712449257676"
"1","BD","90.05493164062499","22.624151784081896"
"1","BD","92.362060546875","25.015928359741995"
"1","BD","90.010986328125","22.644432106946258"
"1","BD","90.032958984375","24.016361432384212"
"1","BD","89.637451171875","23.029186967531377"
"1","BD","90.274658203125","22.421184338959648"
"1","IN","88.516845703125","22.664709435643758"
"1","BD","90.714111328125","23.211057894962547"
"1","BD","90.340576171875","24.09661821871491"
"1","BD","88.626708984375","23.855697620153656"
"1","BD","89.263916015625","23.89588231358835"
"1","BD","89.835205078125","22.78631041300299"
"1","BD","89.83520507812501","23.513625978124132"
"1","IN","91.527099609375","23.815500459599683"
"1","BD","90.20874023437499","22.644432106946258"
