slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,n_mono,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs,near_delta_peak_windows_mean,D_inf_summary,route_b_base_ok,route_b_excluded_slug,route_b_low_r2,route_b_selected,route_b_selected_plot
hurricane_melissa_aftermath_2025_11_03,melissa_aft,hurricane,EVAC,0.32761606105846197,36.0,5,5,0.1295041734714219,0.37969785434202274,0.9969389171659657,20.0,444.0,0.6725928596577806,0.22035222337712898,-0.5420930463020194,0.6725928596577806,True,True,False,False,False
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.14026091970829224,64.0,3,6,0.2091651414158482,0.641606270610107,0.6298260700785984,24.0,72.0,0.7943681594503664,0.11141880863149173,0.11790225271303449,0.7943681594503664,True,False,False,True,True
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,india_monsoon_season_s,monsoon,INFL,0.18148306873830664,536.0,1,12,,,,24.0,24.0,0.3207343844812271,0.05820786034554501,0.07925056582733202,0.3207343844812271,False,False,False,False,False
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.11380356812147989,280.0,2,2,,,,24.0,48.0,0.944662965587089,0.10750601615602949,0.10692956348128577,0.944662965587089,False,False,False,False,False
moldova_flooding_2024,moldova,flood,INFL,0.06299469886468742,448.0,4,8,0.18283202892269831,0.15519735361140136,0.8763066217453457,24.0,96.0,0.6441664810851007,0.04057907349468128,0.04545334325701815,0.6441664810851007,True,False,False,True,True
pakistan_monsoon_season_study_sindh_2024_05_09,pakistan_monsoon_seaso,monsoon,INFL,0.08646891672754135,824.0,0,0,,,,,,,,0.027424920580333516,,False,False,False,False,False
park_fire_2024,park_fire1,wildfire,INFL,0.05971293563843387,376.0,0,0,,,,,,,,0.035741591833645565,,False,False,False,False,False
park_fire_california_29_july_2024,park_fire2,wildfire,NEUTRAL,0.03320846854836,280.0,2,2,,,,24.0,48.0,0.9158678848823444,0.03041456984956833,0.017786271876340173,0.9158678848823444,False,False,False,False,False
spain_flood,spain_flood,flood,INFL,0.12910513786241298,104.0,4,5,0.2672111552113405,0.7722540742890504,0.9762595008183927,24.0,96.0,0.785070108828101,0.10135658463191155,0.13846800317552516,0.785070108828101,True,False,False,True,True
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,0.24759529687456974,32.0,4,4,0.3479752777497077,0.7066884660171192,0.893023087603731,24.0,96.0,0.3869447158247225,0.0958056917886682,0.25048946838167174,0.3869447158247225,True,False,False,True,True
the_earthquake_across_dhaka_division_bangladesh,the_earthquake_across_,earthquake,INFL,0.09190257647023503,296.0,1,1,,,,16.0,16.0,0.7146598544029573,0.06567908191947482,0.0662768405586377,0.7146598544029573,False,False,False,False,False
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.1846441741699349,-8.0,5,14,1.1346522923352391,3.1096021919786416,0.9391238411634022,24.0,120.0,0.5439554336665122,0.10043820183460195,-0.10368253121562315,0.5439554336665122,True,False,False,True,True
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.08444372699984103,16.0,5,10,0.16918761481867114,-0.2887180103135548,0.7220455104482242,24.0,120.0,0.5486530819271915,0.04633031106788117,0.06173985204288176,0.5486530819271915,True,False,False,True,True
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.12486911695932487,16.0,6,6,0.1609104782222368,0.4112444300335784,0.7150074828125028,24.0,144.0,0.6516885562177972,0.08137577454741368,-0.07816008356582643,0.6516885562177972,True,False,False,True,True
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,0.10380220992425243,272.0,4,18,0.6169809033987395,1.9192802027792546,0.9882632417233156,24.0,96.0,0.39420766450527056,0.040919626744725365,0.08397836838532147,0.39420766450527056,True,True,False,False,False
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,0.18314127430718508,136.0,0,0,,,,,,,,0.15076063994331462,,False,False,False,False,False
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,0.09034747846038298,160.0,2,5,,,,24.0,48.0,0.9173450295541722,0.08287981029838495,0.07320680902139885,0.9173450295541722,False,False,False,False,False
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,EVAC,0.09663185404386196,16.0,1,13,,,,24.0,24.0,0.41824612399764854,0.04041589840855177,-0.10290066472646175,0.41824612399764854,False,False,False,False,False
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,INFL,0.07972660155025013,40.0,2,12,,,,24.0,48.0,0.5927502410065917,0.04725796228354727,0.08289914576135529,0.5927502410065917,False,False,False,False,False
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.08366572416084497,232.0,1,1,,,,24.0,24.0,0.6561106809556074,0.05489397525181601,-0.05872901824893788,0.6561106809556074,False,False,False,False,False
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,INFL,0.09104245984788825,208.0,2,2,,,,24.0,48.0,0.9243324760614904,0.08415350233792737,0.07289611868172369,0.9243324760614904,False,False,False,False,False
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,0.08850171957692196,280.0,1,2,,,,24.0,24.0,0.9272355997519359,0.08206194503098488,-0.04800929302101292,0.9272355997519359,False,False,False,False,False
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.40114008822652447,16.0,4,34,0.2228386744457223,0.4673588092926708,0.9593725850264299,24.0,96.0,0.5693644673300816,0.22839491265783704,0.05663369481729249,0.5693644673300816,True,False,False,True,True
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.13430304258593542,-8.0,2,11,,,,24.0,48.0,0.686813106845663,0.09224108993727169,0.09670015070573769,0.686813106845663,False,False,False,False,False
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.25648113051572646,-8.0,5,10,0.8332010653890045,2.3950422130796314,0.9967433972852875,24.0,120.0,0.24426611879019733,0.06264965029399855,-0.2739356164808162,0.24426611879019733,True,False,False,True,True
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.13709144407795817,136.0,3,8,0.18092357932915537,-0.33301343807966693,0.810094971072026,24.0,72.0,0.35106560385114505,0.04812809059805387,0.04030056317673647,0.35106560385114505,True,False,False,True,True
