slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,n_mono,alpha,logA,r2,r_max_km
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.08778055037914925,-8.0,5,0.6067767707823017,1.680514130211723,0.9892977296695452,300.0
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.1951666495750167,16.0,6,0.44052640926728714,1.396279337541019,0.9369331326511268,300.0
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.11221423538369692,-8.0,2,,,,300.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.1473607821167482,328.0,0,,,,300.0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.09354591677379914,-8.0,3,-0.013758362246417674,-0.3127547107281203,0.26309227043646666,300.0
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.10704051075962617,136.0,3,0.09458806352263997,0.018560468253751152,0.7703014139960854,300.0
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.12470078209580307,64.0,3,0.27842153764096733,0.9067323989965433,0.6526245715847927,300.0
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.10924880318823652,280.0,2,,,,300.0
moldova_flooding_2024,moldova,flood,INFL,0.06299469886468742,448.0,4,0.18283202892269831,0.15519735361140144,0.8763066217453453,300.0
park_fire_2024,park_fire1,wildfire,NEUTRAL,0.054694371390885815,376.0,0,,,,300.0
park_fire_california_29_july_2024,park_fire2,wildfire,NEUTRAL,0.041130465755933994,112.0,2,,,,300.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.17769645301917564,-8.0,5,1.2306516324679415,3.521774630134207,0.8609823607288978,300.0
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.0809862638465071,232.0,1,,,,300.0
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.11845516632822886,16.0,6,0.14677999519635743,0.3867063951674227,0.6833924254320894,300.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,0.177889327712584,136.0,0,,,,300.0
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,0.09034747846038298,160.0,2,,,,300.0
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,EVAC,0.08644426217889842,16.0,1,,,,300.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,INFL,0.06264151327677855,40.0,2,,,,300.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.09908936429004729,232.0,1,,,,300.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,INFL,0.11489131543021307,208.0,2,,,,300.0
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,0.09102031215072418,280.0,1,,,,300.0
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.29842332938606897,16.0,3,0.14373063607336614,0.2508829322355383,0.8416221326978117,300.0
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.14458655916740312,184.0,3,0.5125973435877074,1.590420014625885,0.9978622871011773,300.0
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.25648113051572646,-8.0,5,0.8332010653890054,2.395042213079635,0.9967433972852874,300.0
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.13322914647133083,136.0,3,0.16440155562091027,-0.32858462728589904,0.9988345942638268,300.0
