slug,name,event_type,data_root,t0_pt,t0_method,center_lat,center_lon,center_method,center_source_window_pt,center_source_file,r_max_with_ge_10_tiles_km,note
park_fire_2024,"The Park Fire in Northern California, US",wildfire,"/mnt/e/newdesktop/archive/facebook/disaster data/The Park Fire in Northern California, US",2024-07-29 16:00:00,auto_first_day_1600,38.9076659746211,-121.4453147319471,auto_centroid_abs_n_difference,2024-07-29 16:00:00,949242724385190_2024-07-29_1600.csv,450.0,
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,/mnt/e/newdesktop/archive/facebook/disaster data/Park Fire California 29 July 2024,2024-07-29 16:00:00,auto_first_day_1600,38.50398445323192,-121.5917346836024,auto_centroid_abs_n_difference,2024-07-29 16:00:00,4710307661338599_2024-07-29_1600.csv,450.0,
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",flood,"/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Antioquia and Chocó Departments, Colombia",2024-11-13 16:00:00,auto_first_day_1600,5.837859214412732,-75.63515450969685,auto_centroid_abs_n_difference,2024-11-13 16:00:00,3349347119991330_2024-11-13_1600.csv,200.0,
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,"/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Bagmati and Koshi Provinces, Nepal",2024-09-27 16:00:00,auto_first_day_1600,27.46233776977741,85.38018265907435,auto_centroid_abs_n_difference,2024-09-27 16:00:00,1480877630519301_2024-09-27_1600.csv,300.0,
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Eastern Bangladesh,2024-08-25 16:00:00,auto_first_day_1600,23.690060945566174,90.40834452418548,auto_centroid_abs_n_difference,2024-08-25 16:00:00,2515052155094649_2024-08-25_1600.csv,350.0,
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,"/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Gujarat, India",2024-09-01 16:00:00,auto_first_day_1600,22.452434173517105,74.56262547693456,auto_centroid_abs_n_difference,2024-09-01 16:00:00,1617120365740575_2024-09-01_1600.csv,500.0,
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,"/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding in Benue and Kogi States, Nigeria",2024-10-21 16:00:00,auto_first_day_1600,7.550362890263884,6.969442137368035,auto_centroid_abs_n_difference,2024-10-21 16:00:00,1413391517911743_2024-10-21_1600.csv,350.0,
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,"/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding in Conakry City, Conakry, Guinea",2024-08-27 16:00:00,auto_first_day_1600,9.728603405237266,-13.599285866385875,auto_centroid_abs_n_difference,2024-08-27 16:00:00,1392932799322170_2024-08-27_1600.csv,200.0,
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,"/mnt/e/newdesktop/archive/facebook/disaster data/The Wildfires in Quito, Pichincha Province, Ecuador",2024-09-24 16:00:00,auto_first_day_1600,-0.9726120156202206,-78.96436749231096,auto_centroid_abs_n_difference,2024-09-24 16:00:00,1612196216477889_2024-09-24_1600.csv,300.0,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,/mnt/e/newdesktop/archive/facebook/disaster data/Tropical Storm Debby United States Pre-landfall 4 August 2024,2024-08-04 16:00:00,auto_first_day_1600,31.76590460634808,-81.9184190528322,auto_centroid_abs_n_difference,2024-08-04 16:00:00,1501959077977881_2024-08-04_1600.csv,500.0,
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,"/mnt/e/newdesktop/archive/facebook/disaster data/Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",2024-09-04 16:00:00,auto_first_day_1600,14.27863745838866,121.41741519967258,auto_centroid_abs_n_difference,2024-09-04 16:00:00,1647715382668161_2024-09-04_1600.csv,500.0,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,"/mnt/e/newdesktop/archive/facebook/disaster data/Tropical Storm Kristine in Bicol and Calabarzon, Philippines",2024-10-23 16:00:00,auto_first_day_1600,13.763277087596638,121.6463031144142,auto_centroid_abs_n_difference,2024-10-23 16:00:00,2595545597324538_2024-10-23_1600.csv,500.0,
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,/mnt/e/newdesktop/archive/facebook/disaster data/Tropical Storm Yagi Philippines 2 September 2024,2024-09-02 16:00:00,auto_first_day_1600,14.977832599368538,121.04192901597649,auto_centroid_abs_n_difference,2024-09-02 16:00:00,3080881616934306_2024-09-02_1600.csv,450.0,
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,/mnt/e/newdesktop/archive/facebook/disaster data/Turkiye Turkey Earthquake Full Country Version Feb 8 2023,2023-02-05 16:00:00,provided,37.174,37.032,provided,2023-02-05 16:00:00,2172754818300831_2023-02-05_1600.csv,500.0,
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,/mnt/e/newdesktop/archive/facebook/disaster data/Typhoon Krathon Across Taiwan,2024-10-02 16:00:00,auto_first_day_1600,24.30380672432452,120.9965736029077,auto_centroid_abs_n_difference,2024-10-02 16:00:00,5989300132361616_2024-10-02_1600.csv,300.0,
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,/mnt/e/newdesktop/archive/facebook/disaster data/Typhoon Yagi Across Northeastern Vietnam,2024-09-08 16:00:00,auto_first_day_1600,20.923376125732148,106.34511179046432,auto_centroid_abs_n_difference,2024-09-08 16:00:00,4501589141798319_2024-09-08_1600.csv,150.0,
wildfires_in_boise_county_idaho_27_august_2024,Wildfires In Boise County Idaho 27 August 2024,wildfire,/mnt/e/newdesktop/archive/facebook/disaster data/Wildfires In Boise County Idaho 27 August 2024,2024-08-27 16:00:00,auto_first_day_1600,43.56194994759615,-116.06872112659072,auto_centroid_abs_n_difference,2024-08-27 16:00:00,3185865366604215_2024-08-27_1600.csv,300.0,
