slug,name,event_type,r_band_start_km,n_obs,mean,median,r_band_end_km,r_band_center_km
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,400.0,35,53.6,52.0,450.0,425.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,450.0,35,24.62857142857143,24.0,500.0,475.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,0.0,75,233.4,233.0,50.0,25.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,50.0,75,591.84,574.0,100.0,75.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,100.0,75,730.4533333333334,715.0,150.0,125.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,150.0,75,671.96,677.0,200.0,175.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,200.0,75,682.48,682.0,250.0,225.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,250.0,75,728.7866666666666,763.0,300.0,275.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,300.0,75,486.6,477.0,350.0,325.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,350.0,75,266.24,260.0,400.0,375.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,400.0,75,197.14666666666668,203.0,450.0,425.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,450.0,75,206.68,215.0,500.0,475.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,0.0,50,116.48,114.0,50.0,25.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,50.0,50,426.66,440.0,100.0,75.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,100.0,50,717.52,715.5,150.0,125.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,150.0,50,375.26,365.5,200.0,175.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,200.0,50,312.18,320.0,250.0,225.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,250.0,50,201.54,201.0,300.0,275.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,300.0,43,9.093023255813954,7.0,350.0,325.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,350.0,30,4.166666666666667,2.5,400.0,375.0
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,0.0,75,265.4533333333333,298.0,50.0,25.0
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,50.0,75,438.6933333333333,438.0,100.0,75.0
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,100.0,75,256.6533333333333,272.0,150.0,125.0
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,150.0,75,121.64,126.0,200.0,175.0
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,200.0,60,5.383333333333334,6.0,250.0,225.0
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,0.0,140,258.98571428571427,283.0,50.0,25.0
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,50.0,140,282.25714285714287,278.0,100.0,75.0
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,100.0,140,176.44285714285715,168.5,150.0,125.0
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,150.0,140,61.75714285714286,54.0,200.0,175.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,0.0,85,239.28235294117647,249.0,50.0,25.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,50.0,85,323.45882352941175,297.0,100.0,75.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,100.0,85,548.6941176470589,486.0,150.0,125.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,150.0,85,207.52941176470588,179.0,200.0,175.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,200.0,85,69.43529411764706,54.0,250.0,225.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,250.0,85,19.49411764705882,17.0,300.0,275.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,300.0,85,22.235294117647058,18.0,350.0,325.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,350.0,85,56.23529411764706,60.0,400.0,375.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,400.0,85,80.50588235294117,100.0,450.0,425.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,450.0,24,0.7916666666666666,1.0,500.0,475.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,0.0,75,206.09333333333333,239.0,50.0,25.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,50.0,75,581.4533333333334,615.0,100.0,75.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,100.0,75,479.2133333333333,450.0,150.0,125.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,150.0,75,290.28,267.0,200.0,175.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,200.0,75,148.02666666666667,154.0,250.0,225.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,250.0,75,26.533333333333335,33.0,300.0,275.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,300.0,75,55.44,53.0,350.0,325.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,350.0,75,20.72,15.0,400.0,375.0
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,400.0,75,12.253333333333334,4.0,450.0,425.0
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",flood,0.0,5,167.8,170.0,50.0,25.0
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",flood,50.0,5,281.8,283.0,100.0,75.0
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",flood,100.0,5,229.2,221.0,150.0,125.0
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",flood,150.0,5,82.8,38.0,200.0,175.0
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",flood,200.0,3,5.666666666666667,4.0,250.0,225.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,0.0,75,128.82666666666665,139.0,50.0,25.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,50.0,75,300.26666666666665,333.0,100.0,75.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,100.0,75,207.37333333333333,204.0,150.0,125.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,150.0,75,257.6,272.0,200.0,175.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,200.0,75,271.25333333333333,261.0,250.0,225.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,250.0,75,121.66666666666667,127.0,300.0,275.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,300.0,16,1.8125,2.0,350.0,325.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,0.0,60,292.06666666666666,307.0,50.0,25.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,50.0,60,836.9,834.0,100.0,75.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,100.0,60,1111.35,1159.0,150.0,125.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,150.0,60,1040.8,1135.0,200.0,175.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,200.0,60,584.6833333333333,586.5,250.0,225.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,250.0,60,300.85,303.0,300.0,275.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,300.0,60,117.46666666666667,125.5,350.0,325.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,350.0,48,9.145833333333334,12.0,400.0,375.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,0.0,40,28.5,26.5,50.0,25.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,50.0,40,129.475,111.5,100.0,75.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,100.0,40,412.15,436.5,150.0,125.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,150.0,40,615.1,590.5,200.0,175.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,200.0,40,722.7,736.0,250.0,225.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,250.0,40,749.925,699.0,300.0,275.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,300.0,40,715.675,727.5,350.0,325.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,350.0,40,747.075,769.0,400.0,375.0
