slug,event_type,r_bin_km,phi_aggregate_mean,phi_overlap_mean,n_rows,mean_n_tiles_overlap,frac_phi_overlap_zero,frac_phi_overlap_nan,time_min_hours,time_max_hours
hurricane_beryl_across_southeastern_texas_us,hurricane,220.0,0.975179323339739,0.9746527416357188,2,781.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,230.0,0.9796480137725407,0.981786886659798,2,791.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,240.0,0.9715247926818074,0.9719367385240099,2,841.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,250.0,0.9690734368944115,0.9705444250092129,2,911.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,260.0,0.9762572570615534,0.9775010569017624,2,835.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,270.0,0.9690692656260833,0.9704626265860499,2,633.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,280.0,0.9701550858080655,0.9724012241975857,2,609.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,290.0,0.9699792790372717,0.9724317167607588,2,581.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,300.0,0.9733071959776896,0.9771798838879978,2,413.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,310.0,0.9609010135441094,0.9659041492409088,2,237.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,320.0,0.9513354978705898,0.9509641544219185,2,298.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,330.0,0.9654480845718219,0.9673852296210036,2,220.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,340.0,0.9623110229163128,0.9659550981606031,2,155.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,350.0,0.9397839994972945,0.9396444423692755,2,171.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,360.0,0.9700089037767177,0.9703658414613154,2,89.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,370.0,0.9788256229317298,0.9948691699374609,2,22.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,380.0,0.9883274803845228,0.9565219007830357,2,20.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,390.0,1.7097893180331192,0.9402926720263052,2,3.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,400.0,1.0012789754294869,0.9992985421287692,2,3.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,410.0,1.1584137738636517,0.9760482088711302,2,1.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,40.0,0.9971135369726469,1.0010264303318444,2,16.5,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,50.0,1.0077943805274656,1.0192110658565734,2,23.5,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,60.0,0.920056402150625,0.934393558235862,2,30.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,70.0,0.9749248793809867,0.9746109959565705,2,99.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,80.0,1.0002656945560509,1.0053851662031983,2,90.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,90.0,0.9507583301333926,0.9573095628194216,2,77.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,100.0,0.89154749880118,0.9041620905988224,2,87.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,110.0,0.9552929811973749,0.9583793253616979,2,86.5,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,120.0,0.973577802864527,0.9854864591836453,2,57.5,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,130.0,0.91995676994508,0.9745720252254687,2,74.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,140.0,0.8077229941170044,0.9770761721940788,2,25.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,150.0,0.4189016839836691,0.8680871373330716,2,6.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,160.0,0.8755035386850194,0.8755035386850194,2,2.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,170.0,0.4793060601981154,0.4793060601981154,2,3.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,180.0,0.21911976729180038,0.244404620127542,2,4.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,190.0,0.130170579615506,0.3906832845360968,2,0.5,0.0,0.5,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,200.0,0.5677915721911974,0.5773267101217081,2,20.5,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,210.0,0.4395959567509779,0.4664741922445652,2,17.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,220.0,0.11749758575415414,0.2215409665120157,2,3.5,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,260.0,0.9582021177995186,0.9582021177995186,2,36.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,270.0,1.0231859931087006,1.0253763162094653,2,84.5,0.0,0.0,24.0,72.0
