k,Ds,spearman_rho_alpha_emp_D,spearman_p_alpha_emp_D,pearson_r_alpha_emp_D,pearson_p_alpha_emp_D,mae_alpha_D,n_events_D,spearman_rho_alpha_pred_vs_delta_near_D,spearman_p_alpha_pred_vs_delta_near_D,spearman_rho_alpha_pred_vs_D_peak_D,spearman_p_alpha_pred_vs_D_peak_D,spearman_rho_alpha_emp_E,spearman_p_alpha_emp_E,pearson_r_alpha_emp_E,pearson_p_alpha_emp_E,mae_alpha_E,n_events_E,spearman_rho_alpha_pred_vs_delta_near_E,spearman_p_alpha_pred_vs_delta_near_E,spearman_rho_alpha_pred_vs_D_peak_E,spearman_p_alpha_pred_vs_D_peak_E
0.00013738237958832623,0.022122162910704492,0.10294117647058824,0.7044103818167706,0.18739800600882187,0.48706608925887496,0.3449532478561175,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.2505458584182564,0.3493055949735492,0.3410789122597494,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.00013738237958832623,0.03290344562312668,0.10294117647058824,0.7044103818167706,0.18768098139765957,0.4863966580509418,0.344789692087098,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.25062888350142837,0.34914059838254285,0.3405402379405334,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.00013738237958832623,0.04893900918477494,0.10294117647058824,0.7044103818167706,0.18835108992818506,0.48481315468892605,0.3445499441184454,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.25074565784888897,0.3489086059255644,0.33975117624407847,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.00013738237958832623,0.07278953843983153,0.10294117647058824,0.7044103818167706,0.18953524357540774,0.48202101250148344,0.34420133056854857,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4735294117647058,0.06391907182682008,0.25090521402667243,0.3485917605552688,0.3386035725230241,16,-0.5970588235294118,0.014609731954981046,0.3411764705882353,0.1959326248678891
0.00013738237958832623,0.10826367338740546,0.11470588235294117,0.672291046599723,0.1912177039274146,0.4780673049380675,0.3437041112795839,16,-0.30882352941176466,0.24449869579851793,0.3294117647058824,0.2128014262162131,0.5,0.04858028888702393,0.25111353513953855,0.3481783226078008,0.3369515770934169,16,-0.5882352941176471,0.016539722195378165,0.3558823529411765,0.1761037380915931
0.00013738237958832623,0.16102620275609392,0.11470588235294117,0.672291046599723,0.19381317876059034,0.4719990937386551,0.3430040900922986,16,-0.30882352941176466,0.24449869579851793,0.3294117647058824,0.2128014262162131,0.4735294117647058,0.06391907182682008,0.2513661242923205,0.34767740091888333,0.33460779209114383,16,-0.5676470588235295,0.02181459214374292,0.34411764705882353,0.19185563142554296
0.00013738237958832623,0.2395026619987486,0.09117647058823529,0.7370049501736589,0.1982251804664644,0.4617710776296626,0.34202899544721754,16,-0.26176470588235295,0.3274104118125859,0.34411764705882353,0.19185563142554296,0.4764705882352941,0.062059174189226164,0.25163530847210475,0.34714401708110015,0.3313482358217895,16,-0.55,0.027293972709730593,0.3735294117647059,0.15412246989684822
0.00013738237958832623,0.35622478902624444,0.08529411764705883,0.7534650694747833,0.2049211059877027,0.44646118173393823,0.34069668525677177,16,-0.27941176470588236,0.29461765356841446,0.29411764705882354,0.268846554622893,0.45,0.08029573654339643,0.251855635324228,0.34670778751434544,0.3269324620966314,16,-0.5117647058823529,0.04272344816333178,0.39999999999999997,0.12475042359840012
0.00013738237958832623,0.529831690628371,0.08529411764705883,0.7534650694747833,0.2154055883499139,0.42301475807544314,0.338936410196527,16,-0.27941176470588236,0.29461765356841446,0.29411764705882354,0.268846554622893,0.4382352941176471,0.08953003199187995,0.2519246698675759,0.3465711684207208,0.3211392183658457,16,-0.5088235294117647,0.04413521823498383,0.3588235294117647,0.17230386289263244
0.00013738237958832623,0.7880462815669912,0.10294117647058824,0.7044103818167706,0.23240410397934996,0.3864038131016435,0.3367262356232945,16,-0.26176470588235295,0.3274104118125859,0.3294117647058824,0.2128014262162131,0.3735294117647059,0.15412246989684822,0.25175852024171175,0.34690002941341525,0.3137998970152405,16,-0.5029411764705883,0.047063140467273064,0.30882352941176466,0.24449869579851793
0.00013738237958832623,1.1721022975334805,0.12941176470588234,0.63288233246826,0.25749570955457957,0.3356466809217568,0.3341558730488964,16,-0.25588235294117645,0.33878990807124576,0.3235294117647059,0.22157412500124285,0.39999999999999997,0.12475042359840012,0.25143082822191665,0.34754914896096856,0.3047930589483413,16,-0.4794117647058824,0.06023930250431595,0.2764705882352941,0.2999421284923735
0.00013738237958832623,1.743328822199989,0.22352941176470587,0.40529834728275893,0.27524571313378615,0.30217623233311397,0.33093692022494814,16,-0.2764705882352941,0.2999421284923735,0.31176470588235294,0.23980004767411284,0.4058823529411764,0.11879168453237476,0.2512789844305262,0.3478501661624147,0.2939820882053811,16,-0.4705882352941176,0.06581947250108118,0.2676470588235294,0.3162544185483094
0.00013738237958832623,2.592943797404667,0.27058823529411763,0.31076062710233504,0.2824263265882357,0.2892191165018703,0.32668302085189005,16,-0.35000000000000003,0.18386882202619317,0.21764705882352942,0.41808684161130294,0.3735294117647059,0.15412246989684822,0.2516482193757697,0.3471184459730179,0.2811314754484174,16,-0.38823529411764707,0.13728162367278124,0.2764705882352941,0.2999421284923735
0.00013738237958832623,3.856620421163472,0.37058823529411766,0.15765046473782054,0.28180783921680747,0.29032185880104094,0.32100293899750093,16,-0.36470588235294116,0.16486839724475397,-0.03823529411764706,0.8881976539853073,0.28823529411764703,0.27898445973708325,0.2522466777470119,0.3459343182665965,0.26583423239811504,16,-0.36764705882352944,0.1612323576755899,0.2441176470588235,0.3622134961419501
0.00013738237958832623,5.736152510448681,0.4264705882352941,0.09949911193753966,0.2755709487801393,0.3015820646517026,0.3134464442641862,16,-0.37941176470588234,0.14722713386289268,-0.06764705882352941,0.8034203137966691,0.25,0.3503914791072017,0.2519541809372911,0.3465127754159114,0.24952130843623682,16,-0.3411764705882353,0.1959326248678891,0.23823529411764705,0.37425412972798844
0.00013738237958832623,8.531678524172815,0.4323529411764706,0.09442103753478695,0.2661009068513987,0.319164999750282,0.30371778447832065,16,-0.36764705882352944,0.1612323576755899,-0.08529411764705883,0.7534650694747833,0.2411764705882353,0.36820660804263405,0.24977318968404422,0.3508432345534353,0.24993356615789514,16,-0.34705882352941175,0.18783442010629967,0.22941176470588234,0.39272049088161975
0.00013738237958832623,12.689610031679234,0.4705882352941176,0.06581947250108118,0.2557727645027664,0.3390040203956134,0.2919103010391222,16,-0.3529411764705882,0.17995865788498183,-0.06764705882352941,0.8034203137966691,0.21470588235294116,0.4245592336201027,0.24587421555234218,0.35866026424709185,0.25106499417751926,16,-0.3235294117647059,0.22157412500124285,0.29705882352941176,0.2638630146135225
0.00013738237958832623,18.873918221350976,0.4647058823529412,0.06974367557375584,0.24523757013616004,0.3599458312217563,0.2777152721268145,16,-0.3058823529411765,0.2492542989289186,-0.1264705882352941,0.6406944408168836,0.16764705882352943,0.5348568245819433,0.24099063371670468,0.36858711024099694,0.25119955998560894,16,-0.3294117647058824,0.2128014262162131,0.2588235294117647,0.3330723066336081
0.00013738237958832623,28.072162039411786,0.3205882352941176,0.22604542220798238,0.23490188872467288,0.3811735845331019,0.27526374399259446,16,-0.15882352941176472,0.5568612810855389,-0.3,0.25893645256249886,0.2911764705882353,0.2738870484191488,0.23532923766323552,0.38028262393394663,0.25066136314631554,16,-0.411764705882353,0.11303386621436724,0.3323529411764706,0.2084998279822084
0.00013738237958832623,41.753189365604044,0.3,0.25893645256249886,0.2251139613167564,0.40188937020132054,0.2690819046411969,16,-0.09999999999999999,0.7125163701282782,-0.31764705882352945,0.23057346362184541,0.3058823529411765,0.2492542989289186,0.22905124710057007,0.3934852552802983,0.246525043124518,16,-0.4852941176470588,0.05671771428191195,0.2676470588235294,0.3162544185483094
0.00013738237958832623,62.10169418915616,0.2676470588235294,0.3162544185483094,0.21607121883994357,0.4215482142703071,0.2578146094661058,16,0.02941176470588235,0.9138955872505001,-0.33529411764705885,0.20425458084551512,0.36470588235294116,0.16486839724475397,0.22225980228432093,0.40804079951899297,0.24645156106752164,16,-0.6205882352941177,0.010313515549677674,0.08529411764705883,0.7534650694747833
0.00013738237958832623,92.36708571873865,0.12352941176470587,0.6485420669723405,0.2062935179256151,0.4433552901478475,0.24001114618582647,16,0.1647058823529412,0.5421481352010777,-0.36764705882352944,0.1612323576755899,0.22058823529411767,0.4116664304979635,0.21340847749978353,0.4274307496822807,0.2520515899791811,16,-0.3,0.25893645256249886,-0.1176470588235294,0.6643410791623536
0.00013738237958832623,137.3823795883264,0.07058823529411765,0.795039302337628,0.19010030108491335,0.48069139425982044,0.21768442856743284,16,0.16764705882352943,0.5348568245819433,-0.34411764705882353,0.19185563142554296,0.06176470588235294,0.8202418775044894,0.19818487483340663,0.46186401447347425,0.25446695032604494,16,0.014705882352941175,0.956891924031642,-0.2588235294117647,0.3330723066336081
0.00013738237958832623,204.33597178569437,-0.008823529411764706,0.9741279946623942,0.15952422503054145,0.5550996564113049,0.1993249982850341,16,0.12352941176470587,0.6485420669723405,-0.39999999999999997,0.12475042359840012,0.03823529411764706,0.8881976539853073,0.16665938540372988,0.5373004041530582,0.25063727249824685,16,0.047058823529411764,0.8626036946668731,-0.2911764705882353,0.2738870484191488
0.00013738237958832623,303.91953823132013,-0.0029411764705882353,0.9913748045563624,0.09771262645549365,0.7188405053598803,0.2085351863473469,16,0.12058823529411765,0.6564245147485952,-0.40294117647058825,0.121745762952543,0.047058823529411764,0.8626036946668731,0.09033763442850881,0.7393458358414554,0.23812094615346485,16,0.05294117647058824,0.8456104411493658,-0.2823529411764706,0.28934982906327383
0.00013738237958832623,452.035365636025,0.014705882352941175,0.956891924031642,-0.03598657488746633,0.8947379639813627,0.21994945209357122,16,0.10294117647058824,0.7044103818167706,-0.3911764705882353,0.1340712861972552,0.02058823529411765,0.9396737397890448,-0.07320450458314945,0.7876017158107351,0.2471105963830121,16,0.09705882352941177,0.7206513082372035,-0.3147058823529411,0.23515831926634448
0.00013738237958832623,672.3357536499335,-0.1647058823529412,0.5421481352010777,-0.18287001013757703,0.4978376924445077,0.2329015223362506,16,0.3764705882352941,0.1506481152876309,-0.3,0.25893645256249886,-0.16176470588235295,0.5494831434036929,-0.19948336938798553,0.458874611081675,0.24996840994140296,16,0.35000000000000003,0.18386882202619317,-0.2647058823529412,0.3218043958686153
0.00013738237958832623,1000.0,-0.16764705882352943,0.5348568245819433,-0.23226643581837536,0.3866932085396234,0.2475827026300823,16,0.38823529411764707,0.13728162367278124,-0.28529411764705886,0.28413874015956303,-0.2058823529411765,0.4442846410521438,-0.23526475453544562,0.38041698905857624,0.24404164689376737,16,0.38823529411764707,0.13728162367278124,-0.2735294117647059,0.3053231563074052
0.00018873918221350977,0.01,0.10294117647058824,0.7044103818167706,0.1873784675673439,0.4871123274010025,0.3439843870402448,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.45,0.08029573654339643,0.25044800502613496,0.34950011643926376,0.3393810319105426,16,-0.5823529411764706,0.01793273413103536,0.27941176470588236,0.29461765356841446
0.00018873918221350977,0.014873521072935119,0.10294117647058824,0.7044103818167706,0.18738208079354762,0.48710377646477887,0.3439087191395763,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.45,0.08029573654339643,0.25048792838816014,0.3494207459426547,0.33913326997128834,16,-0.5823529411764706,0.01793273413103536,0.27941176470588236,0.29461765356841446
0.00018873918221350977,0.022122162910704492,0.10294117647058824,0.7044103818167706,0.1873980060088117,0.48706608925889905,0.34379745742111534,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.2505458584183068,0.3493055949734485,0.3387673313897451,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.00018873918221350977,0.03290344562312668,0.10294117647058824,0.7044103818167706,0.18768098139767161,0.4863966580509131,0.34363390165209584,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.25062888350141627,0.3491405983825667,0.33822865707052907,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.00018873918221350977,0.04893900918477494,0.10294117647058824,0.7044103818167706,0.1883510899281908,0.4848131546889123,0.34339415368344317,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.25074565784891334,0.3489086059255159,0.3374395953740742,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.00018873918221350977,0.07278953843983153,0.10294117647058824,0.7044103818167706,0.1895352435754065,0.482021012501486,0.34304554013354643,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4735294117647058,0.06391907182682008,0.250905214026673,0.3485917605552674,0.33629199165301976,16,-0.5970588235294118,0.014609731954981046,0.3411764705882353,0.1959326248678891
0.00018873918221350977,0.10826367338740546,0.11470588235294117,0.672291046599723,0.1912177039274193,0.47806730493805644,0.34254832084458176,16,-0.30882352941176466,0.24449869579851793,0.3294117647058824,0.2128014262162131,0.5,0.04858028888702393,0.2511135351395389,0.34817832260780024,0.33463999622341256,16,-0.5882352941176471,0.016539722195378165,0.3558823529411765,0.1761037380915931
0.00018873918221350977,0.16102620275609392,0.11470588235294117,0.672291046599723,0.1938131787605954,0.47199909373864335,0.34184829965729646,16,-0.30882352941176466,0.24449869579851793,0.3294117647058824,0.2128014262162131,0.4735294117647058,0.06391907182682008,0.2513661242923211,0.3476774009188821,0.33229621122113945,16,-0.5676470588235295,0.02181459214374292,0.34411764705882353,0.19185563142554296
0.00018873918221350977,0.2395026619987486,0.09117647058823529,0.7370049501736589,0.19822518046646348,0.46177107762966485,0.3408732050122154,16,-0.26176470588235295,0.3274104118125859,0.34411764705882353,0.19185563142554296,0.4764705882352941,0.062059174189226164,0.25163530847210525,0.34714401708109943,0.32903665495178536,16,-0.55,0.027293972709730593,0.3735294117647059,0.15412246989684822
0.00018873918221350977,0.35622478902624444,0.08529411764705883,0.7534650694747833,0.20492110598770064,0.4464611817339432,0.33954089482176963,16,-0.27941176470588236,0.29461765356841446,0.29411764705882354,0.268846554622893,0.45,0.08029573654339643,0.2518556353242292,0.3467077875143433,0.3246208812266272,16,-0.5117647058823529,0.04272344816333178,0.39999999999999997,0.12475042359840012
0.00018873918221350977,0.529831690628371,0.08529411764705883,0.7534650694747833,0.21540558834991208,0.42301475807544753,0.33778061976152485,16,-0.27941176470588236,0.29461765356841446,0.29411764705882354,0.268846554622893,0.4382352941176471,0.08953003199187995,0.25192466986757617,0.3465711684207202,0.3188276374958414,16,-0.5088235294117647,0.04413521823498383,0.3588235294117647,0.17230386289263244
0.00018873918221350977,0.7880462815669912,0.10294117647058824,0.7044103818167706,0.2324041039793511,0.3864038131016407,0.33557044518829243,16,-0.26176470588235295,0.3274104118125859,0.3294117647058824,0.2128014262162131,0.3735294117647059,0.15412246989684822,0.25175852024171236,0.3469000294134138,0.31148831614523614,16,-0.5029411764705883,0.047063140467273064,0.30882352941176466,0.24449869579851793
