slug,short_name,model,BIC,sse,k_minus,k_plus,gamma,c
typhoon_krathon_across_taiwan,krathon_tw,C,-596.2893109604131,0.059242924039255615,0.014918246680630088,0.014918246680630088,-0.04399953948886604,0.03267442912879383
typhoon_krathon_across_taiwan,krathon_tw,D,-591.8584941282579,0.05924292406274952,0.020833333333333332,0.014917060909757189,-0.04398423070955282,0.03267177988066863
typhoon_yagi_across_northeastern_vietnam,yagi_vn,A,-900.3560529232177,1.4339353825609549,0.009623558759313545,0.009623558759313545,0.0,0.020126025518121014
typhoon_yagi_across_northeastern_vietnam,yagi_vn,B,-896.0714051339181,1.4266961581874256,0.009305300080686441,0.0038852804277853936,0.0,0.014565953913018468
typhoon_yagi_across_northeastern_vietnam,yagi_vn,C,-1026.1260294546353,0.7116864227248667,0.019987940599994477,0.019987940599994477,-0.03436632730638764,0.03689081697156566
typhoon_yagi_across_northeastern_vietnam,yagi_vn,D,-1021.7016900982909,0.7086226261907237,0.019642172485784273,0.00951052334786895,-0.03376611800552324,0.033849309644314395
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,A,-1204.9097580482673,0.12134500799242205,0.12524055565314035,0.12524055565314035,0.0,0.051371401967676075
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,B,-1199.8184489693645,0.1213214239205057,1.0226074883300713,0.1237400690324824,0.0,0.051356755033124084
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,C,-1200.045113107341,0.12115784848324565,0.09799717248228941,0.09799717248228941,9.999999999999519,0.05114717268738453
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,D,-1194.9898734226979,0.12110829619245733,1.9776442278496218,0.09530084581089308,9.999947385905864,0.051105678820107504
