slug,short_name,disaster_type,event_type,n_bins,n_points,k_minus,k_plus,k_ratio,gamma,c,r2,BIC_A,BIC_B,BIC_C,BIC_D,best_model,near_delta,D_peak,alpha
park_fire_2024,park_fire1,wildfire,INFL,21,105,0.7510541672825767,0.7510541672825767,1.0,0.0,0.037197651523774196,-6.790118467492334e-09,-841.4638509341337,-836.8098912848163,-836.8098910157586,-832.15593094678,A,0.0508719299095781,0.0626742795732501,
park_fire_california_29_july_2024,park_fire2,wildfire,NEUTRAL,21,210,0.020833333333333332,0.0009676403616119374,21.530037563365234,0.0,6.843185009388884e-16,0.5286599239279003,-1735.7864901040414,-1885.9890691098767,-1746.071477429669,-1740.7408133078102,B,0.016487822887927,0.0313396030511829,
spain_flood,spain_flood,flood,INFL,21,105,0.00568593094718151,0.00568593094718151,1.0,-0.05957857552924462,4.036595796683037e-18,0.8710351581135889,-716.0062197607144,-712.4424922198268,-735.4191859105673,-731.2146290828907,C,0.1384680031755251,0.1291051378624129,0.2672111552113405
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,21,84,0.00909991672823474,0.00909991672823474,1.0,0.05369194169377581,5.43915339010499e-20,0.8058761225347072,-598.8204019953121,-594.3895851768899,-613.0600708698923,-608.6292533466598,C,0.2504894683816717,0.2475952968745697,0.3479752777497077
the_earthquake_across_dhaka_division_bangladesh,the_earthquake_across_,earthquake,INFL,21,84,0.003724888307866647,0.003724888307866647,1.0,0.0,0.03040426457072071,0.39597567806935174,-622.5625528341408,-618.1317360318825,-622.5186245514101,-618.0878072627789,A,0.0662768405586377,0.091902576470235,
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,21,314,0.07975407694985892,0.07975407694985892,1.0,0.0,0.05478505549412299,0.027468535423658902,-1819.7711034430013,-1814.2048868590884,-1814.284348498967,-1810.8806755187434,A,-0.0310065660779815,0.1316684230424645,
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,21,231,0.06281060424136094,0.06281060424136094,1.0,0.0,0.033861602703686634,0.0833019546013789,-1729.8222856272116,-1725.6589499746801,-1726.5001019760768,-1722.097081112065,A,0.0626270314573104,0.0840210694594566,
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,21,126,0.001223963513152064,0.001223963513152064,1.0,0.0,0.002005231351974439,0.5156031627845238,-1022.7037442521374,-1017.8674373839713,-1019.5869509528575,-1014.7506690457163,A,-0.0745121504160712,0.1086852543047663,
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,21,378,0.019483452788107414,0.019483452788107414,1.0,0.0,0.029767001660310103,0.33057218498081575,-2750.4566337918045,-2747.1547054700122,-2745.608616075147,-2741.9988173350416,A,0.0839783683853214,0.1038022099242524,0.6169809033987395
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,17,205,0.15276609668638186,0.15276609668638186,1.0,0.0,0.07570609788903009,0.003711580107168211,-1163.6462593159258,-1159.6411614794586,-1158.90135907585,-1151.9373024135987,A,0.0630537437772599,0.1153259694954137,
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,21,294,0.007738791476312491,0.001646134287013425,4.701190867212268,-0.15238197178025792,0.010372543652664743,0.5925070619319573,-1983.7155620705494,-2011.7450610496965,-2034.2093020836614,-2060.4402638387432,D,0.0004955791073127,0.1012697902272869,0.2894503347968899
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,19,247,0.0010827145203041468,0.0010827145203041468,1.0,0.06190634698934997,0.00805932519762501,0.5478231802293467,-1625.0812051046157,-1609.898080423708,-1640.2827319061657,-1634.8066875997765,C,-0.0272673112874782,0.0656718770115727,0.0813941368878107
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,21,126,1.243618670076458,1.243618670076458,1.0,0.0,0.05419139927394362,-7.327471962526033e-15,-833.484307149978,-828.6480249933949,-828.6480252430224,-823.8117433360248,A,-0.070556220966909,0.1007230709270746,
turkiye_earthquake_2023,turkiye,earthquake,INFL,20,679,0.0101876736621224,0.10934052311101053,0.09317381490647457,0.0,0.21348091702322103,0.1500718617101705,-2684.464509626018,-2739.7656380549856,-2710.2255314625145,-2736.449732824864,B,0.0337562852091245,0.3565980804269134,0.2468014046050735
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,21,84,0.011965569536978842,0.011965569536978842,1.0,0.0,0.025892988722057808,0.5779308771671394,-599.4479914352397,-595.0171741958634,-596.2893109604131,-591.8584941282579,A,0.1031466914233211,0.1313841834270219,0.2543282861481409
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,17,187,0.019987940599994477,0.019987940599994477,1.0,-0.03436632730638764,0.03689081697156566,0.8337901512958713,-900.3560529232177,-896.0714051339181,-1026.1260294546353,-1021.7016900982909,C,-0.4845434252653976,0.2914427860091868,0.5016555761289063
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,21,168,0.12524055565314035,0.12524055565314035,1.0,0.0,0.051371401967676075,0.0028024493446298093,-1204.9097580482673,-1199.8184489693645,-1200.045113107341,-1194.9898734226979,A,0.0595083926311502,0.0846401834295468,0.06052022777175
