slug,short_name,disaster_type,event_type,t_peak_hours,t_peak_source,D_peak,near_delta,r_bin_km,bin_type,peak_delta_mean,delta0_signed,delta0_abs,n_post_points,t50_h,abs_delta_24h,abs_delta_72h,R24_72,metric_ok_t50,metric_ok_R24_72,metric_primary,daily_avg_applied,median_step_hours_raw
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,272.0,preferred_snap,0.10380220992425239,0.0839783683853214,170.0,INFL,0.0421772955000342,0.07518167417125003,0.07518167417125003,18,48.0,0.06197788983579448,0.005275288028175303,0.08511564433948561,1,1,R24_72,1,8.0
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,272.0,preferred_snap,0.10380220992425239,0.0839783683853214,180.0,INFL,0.02107299484644353,0.025048638644344996,0.025048638644344996,18,72.0,0.04819993988290975,0.002357452977707508,0.04890987381798354,1,1,R24_72,1,8.0
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,272.0,preferred_snap,0.10380220992425239,0.0839783683853214,190.0,INFL,0.029683520742697072,0.04473692480008543,0.04473692480008543,18,48.0,0.04807862154431956,0.009180823236253799,0.1909543772545722,1,1,R24_72,1,8.0
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,272.0,preferred_snap,0.10380220992425239,0.0839783683853214,200.0,INFL,0.026885324892820302,0.0400861696855627,0.0400861696855627,18,48.0,0.0488897021563283,0.014171818149669021,0.2898732764694214,1,1,R24_72,1,8.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,104.0,fallback_local_peak,0.2764525465043428,0.1701681261074496,10.0,EVAC,-0.006000284535842494,-0.02106449683603488,0.02106449683603488,2,,0.06762521363022156,,,0,0,,1,8.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,104.0,fallback_local_peak,0.2764525465043428,0.1701681261074496,30.0,INFL,0.1745583420971488,0.244271748760438,0.244271748760438,2,40.0,0.18527149059617426,,,1,0,t50_h,1,8.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,104.0,fallback_local_peak,0.2764525465043428,0.1701681261074496,40.0,INFL,0.28109879325512105,0.2712489242148773,0.2712489242148773,2,,0.2893531036332408,,,0,0,,1,8.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,104.0,fallback_local_peak,0.2764525465043428,0.1701681261074496,50.0,INFL,0.27249631007056063,0.23947132948420272,0.23947132948420272,2,,0.34420081663071067,,,0,0,,1,8.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,104.0,fallback_local_peak,0.2764525465043428,0.1701681261074496,60.0,INFL,0.24342156577063587,0.17932308143476142,0.17932308143476142,2,,0.23446439704881242,,,0,0,,1,8.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,104.0,fallback_local_peak,0.2764525465043428,0.1701681261074496,70.0,INFL,0.18338134901979464,0.2133628492467853,0.2133628492467853,2,,0.2219190265825762,,,0,0,,1,8.0
