slug,geo_unit,alpha_unit,logA_unit,r2_unit,n_mono,t_peak_h,D_peak_unit,delta_peak_unit,distance_km,n_tiles_median,n_windows_total
hurricane_debby_across_florida_and_georgia_us,3022302001,1.5911472612648754,4.341196325925732,0.8633549472426005,3,72.0,0.4897813638892794,0.4897813638892794,13185.60380882539,9.0,8
hurricane_debby_across_florida_and_georgia_us,3022302002,2.2944682514091865,7.268267631573837,0.6880351030518304,4,72.0,0.053518453313422976,0.053518453313422976,13171.281803580581,24.0,8
hurricane_debby_across_florida_and_georgia_us,3022302012,1.2665612182750272,4.1662146020023085,0.8641505050640476,5,48.0,0.04856805688395438,0.04856805688395438,13206.061645414038,41.5,8
hurricane_debby_across_florida_and_georgia_us,3022302023,0.45076152174335127,1.2406681234425436,0.6041378575058153,4,72.0,0.026845350970108983,-0.026845350970108983,13194.65666299504,61.0,8
hurricane_debby_across_florida_and_georgia_us,3022302033,1.962222860473272,6.397691591090317,0.7461994445195359,3,24.0,0.028137859537758825,-0.028137859537758825,13229.10540215252,20.0,8
hurricane_debby_across_florida_and_georgia_us,3022302213,0.5480248104425042,1.5184005797626074,0.6899313058162491,4,0.0,0.08904548829298342,0.08904548829298342,13234.571698726457,48.5,8
hurricane_debby_across_florida_and_georgia_us,3022302231,0.6161499232708589,1.8907599654502227,0.8213170798696721,3,72.0,0.08943844734704753,0.08943844734704753,13237.244379084745,64.0,8
hurricane_debby_across_florida_and_georgia_us,3022302232,2.050155112066399,6.4984481947716075,0.7092696585345248,4,24.0,0.05517056033515355,-0.05517056033515355,13223.004701327889,53.0,8
hurricane_debby_across_florida_and_georgia_us,3022302301,1.3999891996469207,4.076866846364242,0.6905677101117644,3,24.0,0.030235637718912356,0.030235637718912356,13266.184780279618,35.0,8
hurricane_debby_across_florida_and_georgia_us,3022302333,1.2751669072912923,4.523806095559647,0.7841810941307923,6,0.0,0.36788017735523115,0.36788017735523115,13307.501574348595,29.5,8
hurricane_debby_across_florida_and_georgia_us,3022303113,0.9159378591684773,2.9728287834210776,0.9493357528711807,5,0.0,0.2746540443856944,0.2746540443856944,13433.46582718539,6.0,8
hurricane_debby_across_florida_and_georgia_us,3022303131,0.7035332061727959,1.998005954523539,0.8382371463413677,3,24.0,0.06936557217508743,0.06936557217508743,13435.19747430281,25.0,8
hurricane_debby_across_florida_and_georgia_us,3022303202,0.4152499540738212,-1.184890222462078,0.8691718057159785,4,72.0,0.5320297067405293,0.5320297067405293,13320.033743253784,20.0,8
hurricane_debby_across_florida_and_georgia_us,3022303220,0.23804467526035789,0.48313747900065085,0.9725746959179631,3,0.0,0.0920752189784233,-0.0920752189784233,13322.255366770125,12.5,8
hurricane_debby_across_florida_and_georgia_us,3022303232,0.5424610265374247,1.4651257949212704,0.8775084049906365,3,48.0,0.08221153778487889,0.08221153778487889,13358.34723339425,40.5,8
hurricane_debby_across_florida_and_georgia_us,3022303311,2.6999749039085836,8.124648834521983,0.7180004216097524,3,24.0,0.3258286293951622,0.3258286293951622,13438.547291027135,15.0,8
hurricane_debby_across_florida_and_georgia_us,3022303321,1.0239056409817227,3.1482907366560857,0.9641394470012291,4,0.0,0.6121374736384775,0.6121374736384775,13407.558841458038,7.0,8
hurricane_debby_across_florida_and_georgia_us,3022303323,1.5208177347162832,5.0842969133555895,0.6572863952116688,5,24.0,0.1403072398376648,0.1403072398376648,13409.288185684982,27.5,8
hurricane_debby_across_florida_and_georgia_us,3022310003,1.3394802545262046,4.913039741564141,0.938886896598848,3,0.0,0.45610832409318736,0.45610832409318736,13454.851505355891,6.0,7
hurricane_debby_across_florida_and_georgia_us,3022310023,1.0271700005404447,3.3389164193719623,0.901557345329945,4,0.0,0.7208891021769879,0.7208891021769879,13458.534050231574,21.5,8
hurricane_debby_across_florida_and_georgia_us,3022310123,1.4274539674786804,4.445298257718811,0.9051791596225822,3,24.0,0.08964208687934261,0.08964208687934261,13531.210034156826,16.0,8
hurricane_debby_across_florida_and_georgia_us,3022310232,1.159646767071536,3.274043112964233,0.8561559475466046,3,96.0,0.04560075988787515,0.04560075988787515,13483.18884926558,30.0,8
hurricane_debby_across_florida_and_georgia_us,3022311003,2.601160346868828,8.748504846565547,0.5770738832058586,4,0.0,0.47798912499640167,0.47798912499640167,13601.867080505255,10.0,8
hurricane_debby_across_florida_and_georgia_us,3022311012,1.2935019753705599,4.200682935612097,0.9335289688373549,4,0.0,0.7091259932140128,0.7091259932140128,13620.275740982905,19.0,8
hurricane_debby_across_florida_and_georgia_us,3022311020,0.6548786580550671,2.056406972154938,0.9035397131396963,4,0.0,0.24391157452432344,0.24391157452432344,13584.65055765885,31.0,8
hurricane_debby_across_florida_and_georgia_us,3022311030,0.6254381236091011,1.7365100199928691,0.720795523573316,4,24.0,0.17186417758374528,0.17186417758374528,13621.26718096237,46.5,8
hurricane_debby_across_florida_and_georgia_us,3022311033,0.46218231625508804,1.2983278248307992,0.9104288296584686,3,48.0,0.04952184913912072,0.04952184913912072,13640.438734193587,37.0,8
hurricane_debby_across_florida_and_georgia_us,3022311120,0.40179743510889243,0.8147239783668334,0.9057344924625133,4,24.0,0.1906876849376531,0.1906876849376531,13657.90448991821,44.0,8
hurricane_debby_across_florida_and_georgia_us,3022311123,1.7415909607826745,4.732487696269168,0.9691139338513616,4,0.0,0.34875777000511343,0.34875777000511343,13676.889456484167,10.0,8
hurricane_debby_across_florida_and_georgia_us,3022311133,0.9122669678488808,2.980903888014836,0.9389279524768115,4,0.0,0.3621180854451098,0.3621180854451098,13713.353923811597,24.0,8
hurricane_debby_across_florida_and_georgia_us,3022311200,2.919470990115543,9.681580170896716,0.6494615284146479,3,24.0,0.16475814448014958,0.16475814448014958,13586.905440265795,27.0,8
hurricane_debby_across_florida_and_georgia_us,3022311202,0.7049083575006484,2.336767121755051,0.8459660741460059,4,48.0,0.07763332847466597,0.07763332847466597,13587.975134972397,39.0,8
hurricane_debby_across_florida_and_georgia_us,3022311203,1.2563853602511945,3.1204874790116253,0.8683742775115251,5,48.0,0.15543390092625287,0.15543390092625287,13605.990442937826,23.0,8
hurricane_debby_across_florida_and_georgia_us,3022311211,3.1971815940787365,10.065268673995506,0.9869883907517365,3,72.0,1.372031085806162,1.372031085806162,13641.256005790574,39.0,8
hurricane_debby_across_florida_and_georgia_us,3022311232,1.7496170938155051,4.298675339713796,0.7412346346269657,3,96.0,0.1144165835873947,0.1144165835873947,13625.653165830385,43.0,8
hurricane_debby_across_florida_and_georgia_us,3022311303,3.1421346689112415,10.18265448625865,0.8800492901728885,4,48.0,0.06133686816110573,0.06133686816110573,13678.097624445174,22.5,8
hurricane_debby_across_florida_and_georgia_us,3022311311,0.4556601157834218,0.5669961345104286,0.6377972559884993,3,24.0,0.3764594017764884,0.3764594017764884,13713.78085366557,20.5,8
hurricane_debby_across_florida_and_georgia_us,3022311332,3.308397769730308,10.278566099269124,0.8503948641270633,3,0.0,0.036509544623511414,-0.036509544623511414,13697.002692878352,35.5,8
hurricane_debby_across_florida_and_georgia_us,3022311333,2.6970503186658266,8.6176081748467,0.7953852111526959,4,24.0,0.13270455893964317,0.13270455893964317,13714.846777704844,47.5,8
hurricane_debby_across_florida_and_georgia_us,3022312013,0.6863534031205,2.146532133313489,0.6929768759788874,3,48.0,0.06297433813484776,-0.06297433813484776,13503.800840507382,11.0,8
hurricane_debby_across_florida_and_georgia_us,3022312020,2.293085035689384,7.376385250641774,0.9004702314476543,3,48.0,0.15712851526736626,0.15712851526736626,13452.675258347172,8.0,8
hurricane_debby_across_florida_and_georgia_us,3022312022,1.9976172643746641,6.560248441018927,0.7110549157283002,3,0.0,0.07617700916636816,-0.07617700916636816,13454.275989093978,15.0,8
hurricane_debby_across_florida_and_georgia_us,3022312033,0.5783038668727657,1.2440413772239713,0.9162413869030489,4,72.0,0.13279558639307232,0.13279558639307232,13506.479302553793,13.0,8
hurricane_debby_across_florida_and_georgia_us,3022312120,-0.0077142444484192794,-2.9233678408628,0.35893404279203756,3,24.0,0.06831582311133066,-0.06831582311133066,13522.66784402445,11.0,8
hurricane_debby_across_florida_and_georgia_us,3022312130,0.5039891434284676,0.7545805525329661,0.955945014070248,3,72.0,0.12148647772338705,0.12148647772338705,13557.706159893582,27.5,8
hurricane_debby_across_florida_and_georgia_us,3022312202,0.9278494092272399,1.9970638752648582,0.701541949011499,3,96.0,0.11934612913737075,0.11934612913737075,13457.3663276472,26.0,8
hurricane_debby_across_florida_and_georgia_us,3022312212,0.7359393361777423,2.352138034577222,0.9736247793537521,3,24.0,0.11195144669017476,0.11195144669017476,13491.789932316366,11.5,8
hurricane_debby_across_florida_and_georgia_us,3022312221,1.5754104131039355,4.87833289497816,0.9288586712425458,4,24.0,0.1454658789509804,0.1454658789509804,13475.972703691408,5.0,7
hurricane_debby_across_florida_and_georgia_us,3022312230,0.6827429852086757,1.2824518664274722,0.8970317882703679,3,24.0,0.05438108067045344,0.05438108067045344,13493.095946280337,26.0,8
hurricane_debby_across_florida_and_georgia_us,3022312311,0.7449758663973971,2.1366030116745893,0.8571505409601232,3,72.0,0.020597219230630293,-0.020597219230630293,13577.089346602965,63.0,8
hurricane_debby_across_florida_and_georgia_us,3022313003,0.7892081467174096,2.0777024619512288,0.9759243598868373,3,48.0,0.050432883257583105,0.050432883257583105,13609.513939773402,46.5,8
hurricane_debby_across_florida_and_georgia_us,3022313011,0.03660934082440045,-0.6624449414990875,0.53708470887992,3,96.0,0.048447861470255926,0.048447861470255926,13644.156331332179,63.0,8
hurricane_debby_across_florida_and_georgia_us,3022320000,2.4575467558002444,7.701941940626862,0.9999215981510058,3,72.0,0.09613920577348689,0.09613920577348689,13192.16308512854,34.0,8
hurricane_debby_across_florida_and_georgia_us,3022320002,1.3065059506324102,4.1576999257354235,0.9190333436862482,4,48.0,0.054163734718476464,-0.054163734718476464,13194.983701476067,59.0,8
hurricane_debby_across_florida_and_georgia_us,3022320003,1.8178887906096728,6.100780107191936,0.6916947279099208,4,0.0,0.0875270351871662,0.0875270351871662,13211.650190183984,53.0,8
hurricane_debby_across_florida_and_georgia_us,3022320313,1.511355630186089,3.7212638100545687,0.9035119869540488,3,72.0,0.07147319586732004,0.07147319586732004,13320.359202149548,64.0,8
hurricane_debby_across_florida_and_georgia_us,3022320322,0.7188755587877527,1.944110990670018,0.5596740603110616,4,72.0,0.02950175235311825,-0.02950175235311825,13275.74392744438,62.0,8
hurricane_debby_across_florida_and_georgia_us,3022321000,1.4716405777722836,4.97086885705292,0.5884410662531874,4,48.0,0.033130344078829754,0.033130344078829754,13326.584368370335,52.0,8
hurricane_debby_across_florida_and_georgia_us,3022321003,2.0282545479394947,6.5151585508479,0.8175559242394681,4,0.0,0.028166095273707392,-0.028166095273707392,13345.461359788254,63.5,8
hurricane_debby_across_florida_and_georgia_us,3022321021,2.110387064479749,6.207703457995799,0.9695725336135542,3,72.0,0.026915813169072433,-0.026915813169072433,13347.443206185497,63.5,8
