window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,path_sector_occupied,phi_aggregate,phi_overlap,tile_overlap_ratio,path_coverage_frac
2024-07-22 08:00:00,471.0,200.0,76,77,76,11161.660728880564,10646.724972757958,11161.660728880564,10623.55216240459,2,0.9538656685030552,0.9517895607520457,1.0,0.16666666666666666
2024-07-22 08:00:00,471.0,210.0,54,54,54,18003.41147338307,17313.29042530652,18003.41147338307,17313.29042530652,1,0.9616672068459442,0.9616672068459442,1.0,0.08333333333333333
2024-07-22 08:00:00,471.0,220.0,71,71,70,13584.584197936569,13060.246835273327,13519.95820563766,13046.464851826004,1,0.9614020307855365,0.9649781939699921,0.9859154929577465,0.08333333333333333
2024-07-22 08:00:00,471.0,230.0,65,62,61,6744.418652172103,6354.724367242137,6683.883032098085,6333.816835964355,1,0.9422197367886613,0.9476253258094728,0.9384615384615385,0.08333333333333333
2024-07-22 08:00:00,471.0,240.0,22,20,20,704.3290409381543,654.4748310931122,677.3844119883883,654.4748310931122,1,0.9292174439113896,0.9661793503218838,0.9090909090909091,0.08333333333333333
2024-07-22 08:00:00,471.0,250.0,2,2,2,42.97172062029948,45.77823722163403,42.97172062029948,45.77823722163403,1,1.0653107802252808,1.0653107802252808,1.0,0.08333333333333333
2024-07-23 08:00:00,495.0,0.0,1,1,1,72.2446082632376,42.382951422860806,72.2446082632376,42.382951422860806,1,0.586659024690536,0.586659024690536,1.0,0.08333333333333333
2024-07-23 08:00:00,495.0,10.0,11,8,8,515.5344660651131,256.25703578351545,448.3514101989542,256.25703578351545,2,0.49707061826424936,0.5715539863470093,0.7272727272727273,0.16666666666666666
2024-07-23 08:00:00,495.0,20.0,30,23,23,2056.255607267817,1642.9101050174845,1886.7532599578776,1642.9101050174845,2,0.798981458924967,0.8707604432887864,0.7666666666666667,0.16666666666666666
2024-07-23 08:00:00,495.0,30.0,33,28,28,2641.9418532860686,2575.661601548893,2566.5218812341536,2575.661601548893,2,0.974912297310883,1.0035611308758234,0.8484848484848485,0.16666666666666666
2024-07-23 08:00:00,495.0,40.0,25,23,23,6591.946630371133,6329.954888880161,6560.717586052945,6329.954888880161,2,0.9602557854027678,0.9648266071285633,0.92,0.16666666666666666
2024-07-23 08:00:00,495.0,50.0,1,1,1,179.73950662218925,154.19832587943563,179.73950662218925,154.19832587943563,1,0.8578989047942535,0.8578989047942535,1.0,0.08333333333333333
2024-07-23 08:00:00,495.0,60.0,3,3,3,220.80619055785002,226.5337250346033,220.80619055785002,226.5337250346033,1,1.025939193381685,1.025939193381685,1.0,0.08333333333333333
2024-07-23 08:00:00,495.0,70.0,6,6,6,555.0909173729044,402.8787431378648,555.0909173729044,402.8787431378648,1,0.7257887501466989,0.7257887501466989,1.0,0.08333333333333333
2024-07-23 08:00:00,495.0,80.0,7,6,5,620.3877775493079,606.1009794150315,594.7558188588157,592.8141903398569,2,0.9769711805240378,0.9967354190452742,0.7142857142857143,0.16666666666666666
2024-07-23 08:00:00,495.0,90.0,47,47,47,7969.350141819293,7863.917489551469,7969.350141819293,7863.917489551469,2,0.9867702321529876,0.9867702321529876,1.0,0.16666666666666666
2024-07-23 08:00:00,495.0,100.0,42,40,40,6336.341863253699,6400.962822539406,6261.670707877195,6400.962822539406,2,1.010198464773573,1.0222451995897806,0.9523809523809523,0.16666666666666666
2024-07-23 08:00:00,495.0,110.0,11,11,11,1097.170533975907,1172.0926015160524,1097.170533975907,1172.0926015160524,2,1.0682866201926187,1.0682866201926187,1.0,0.16666666666666666
