window_start_pt,hours_since_quake,only_hour_pt,distance_band,n_od,start_sum,end_sum,same_sum,N_out,N_in,Net,phi_aggregate,baseline_mean_overlap,crisis_mean_overlap,phi_mean_overlap_ratio,phi_mean_overlap_minus_1
2024-08-08 08:00:00,232.0,8,25-50km,1016,114223.0,114313.0,113884.0,339.0,429.0,90.0,1.0166155430292698,309.6030408203703,315.0175628132956,1.017488594358047,0.01748859435804695
2024-08-08 08:00:00,232.0,8,50-100km,1194,79628.0,79566.0,78509.0,1119.0,1057.0,-62.0,1.024001363673196,119.521274664864,122.19123810259048,1.0223388132800042,0.0223388132800042
2024-08-08 08:00:00,232.0,8,100-200km,4219,339134.0,338732.0,337840.0,1294.0,892.0,-402.0,1.025086636305728,221.5692605741493,227.1613474805561,1.02523855020284,0.02523855020284005
2024-08-08 08:00:00,232.0,8,200km+,943,46044.0,46389.0,46000.0,44.0,389.0,345.0,1.0235828390148909,90.11001388824012,91.57572491612132,1.0162657951612244,0.016265795161224395
2024-08-09 08:00:00,256.0,8,0-25km,226,30056.0,30060.0,29890.0,166.0,170.0,4.0,1.031175540938703,260.8428540822278,268.4743201911176,1.0292569491149797,0.02925694911497967
2024-08-09 08:00:00,256.0,8,25-50km,965,116274.0,116284.0,115973.0,301.0,311.0,10.0,1.0198224698075185,306.0626815288261,312.51517732372315,1.0210822690393548,0.02108226903935484
2024-08-09 08:00:00,256.0,8,50-100km,1194,82357.0,82461.0,81524.0,833.0,937.0,104.0,1.0301077147233897,119.23966139620488,122.65884512182932,1.0286748862382569,0.02867488623825687
2024-08-09 08:00:00,256.0,8,100-200km,4189,349417.0,349019.0,348298.0,1119.0,721.0,-398.0,1.036029779202155,218.8702131555886,226.5928451839414,1.035284070486389,0.03528407048638904
2024-08-09 08:00:00,256.0,8,200km+,934,47008.0,47288.0,46975.0,33.0,313.0,280.0,1.030329998980119,89.36701910787399,91.34714708297696,1.0221572566128985,0.022157256612898468
2024-08-10 08:00:00,280.0,8,0-25km,183,31642.0,31625.0,31584.0,58.0,41.0,-17.0,1.0250668515214716,261.7659189098764,269.62548896730584,1.0300251846770603,0.03002518467706028
2024-08-10 08:00:00,280.0,8,25-50km,777,121080.0,121119.0,121002.0,78.0,117.0,39.0,1.0127142910674816,294.592439760408,298.7583481214309,1.0141412602591262,0.01414126025912621
2024-08-10 08:00:00,280.0,8,50-100km,1035,88452.0,88571.0,88180.0,272.0,391.0,119.0,1.0252609848671368,118.72956152878992,121.63069914338102,1.024434838108011,0.02443483810801106
2024-08-10 08:00:00,280.0,8,100-200km,3292,363901.0,363672.0,363449.0,452.0,223.0,-229.0,1.0385154661889144,217.61393963144903,226.04881770998543,1.0387607434193862,0.03876074341938618
2024-08-10 08:00:00,280.0,8,200km+,761,47728.0,47816.0,47718.0,10.0,98.0,88.0,1.0189898372432078,84.42825723110568,85.39484954341431,1.0114486825147033,0.011448682514703323
2024-08-11 08:00:00,304.0,8,0-25km,177,32126.0,32133.0,32101.0,25.0,32.0,7.0,1.026028245562055,270.40115579845053,278.3863504397124,1.029530919043903,0.029530919043903037
2024-08-11 08:00:00,304.0,8,25-50km,724,123974.0,123995.0,123907.0,67.0,88.0,21.0,1.0117067374161175,302.9728814805634,307.0947813957736,1.0136048477179456,0.013604847717945567
2024-08-11 08:00:00,304.0,8,50-100km,979,90716.0,90749.0,90526.0,190.0,223.0,33.0,1.0272534110844975,120.83239066222112,124.01426260764852,1.0263329387756808,0.02633293877568077
2024-08-11 08:00:00,304.0,8,100-200km,2989,367651.0,367538.0,367411.0,240.0,127.0,-113.0,1.0326786509960626,220.2729872822115,227.56177629020644,1.0330897996069606,0.03308979960696057
2024-08-11 08:00:00,304.0,8,200km+,743,48481.0,48533.0,48481.0,0.0,52.0,52.0,1.020413704043849,85.4146462042011,86.72884661085277,1.015386124804753,0.015386124804753099
