window_start_pt,hours_since_quake,only_hour_pt,distance_band,n_od,F_r,F_total,P,A
2024-07-22 08:00:00,520.0,8,25-50km,15,95.9396797849067,224.0,0.4283021418969049,0.4283021418969049
2024-07-22 08:00:00,520.0,8,50-100km,299,328.80043111638497,5480.0,0.06000007867087317,0.06000007867087317
2024-07-22 08:00:00,520.0,8,100-200km,91,-312.7940728006709,1719.0,-0.18196281140236817,0.18196281140236817
2024-07-22 08:00:00,520.0,8,200km+,123,-22.437537838899644,2289.0,-0.00980233195233711,0.00980233195233711
2024-07-23 08:00:00,544.0,8,0-25km,0,0.0,0.0,,
2024-07-23 08:00:00,544.0,8,25-50km,15,115.46561758943925,274.0,0.42140736346510677,0.42140736346510677
2024-07-23 08:00:00,544.0,8,50-100km,329,389.0389329784213,5987.0,0.06498061349230354,0.06498061349230354
2024-07-23 08:00:00,544.0,8,100-200km,102,-350.44359572421257,1834.0,-0.19108156800665899,0.19108156800665899
2024-07-23 08:00:00,544.0,8,200km+,127,-8.536745240824645,2361.0,-0.0036157328423653727,0.0036157328423653727
2024-07-24 08:00:00,568.0,8,0-25km,0,0.0,0.0,,
2024-07-24 08:00:00,568.0,8,25-50km,15,72.68540356442315,229.0,0.3174035090149483,0.3174035090149483
2024-07-24 08:00:00,568.0,8,50-100km,342,383.53720105765757,6195.0,0.06191076691810453,0.06191076691810453
2024-07-24 08:00:00,568.0,8,100-200km,108,-335.41972453153005,1984.0,-0.16906236115500506,0.16906236115500506
2024-07-24 08:00:00,568.0,8,200km+,121,-35.27419133098639,2176.0,-0.01621056586901948,0.01621056586901948
2024-07-25 08:00:00,592.0,8,0-25km,0,0.0,0.0,,
2024-07-25 08:00:00,592.0,8,25-50km,14,104.29931197539992,231.0,0.4515121730536793,0.4515121730536793
2024-07-25 08:00:00,592.0,8,50-100km,319,348.11394761536553,5974.0,0.05827150110735948,0.05827150110735948
2024-07-25 08:00:00,592.0,8,100-200km,107,-333.46680645565857,1889.0,-0.17653086630791878,0.17653086630791878
2024-07-25 08:00:00,592.0,8,200km+,122,-40.43315101756742,2260.0,-0.017890774786534256,0.017890774786534256
2024-07-26 08:00:00,616.0,8,0-25km,0,0.0,0.0,,
2024-07-26 08:00:00,616.0,8,25-50km,12,67.62874273217238,232.0,0.2915032014317775,0.2915032014317775
2024-07-26 08:00:00,616.0,8,50-100km,346,380.5504131575841,6475.0,0.05877226458032187,0.05877226458032187
2024-07-26 08:00:00,616.0,8,100-200km,99,-363.85735301593365,1950.0,-0.18659351436714547,0.18659351436714547
2024-07-26 08:00:00,616.0,8,200km+,139,-144.72947243561907,2606.0,-0.05553701935365275,0.05553701935365275
2024-07-27 08:00:00,640.0,8,0-25km,0,0.0,0.0,,
2024-07-27 08:00:00,640.0,8,25-50km,13,48.75994787382433,166.0,0.2937346257459297,0.2937346257459297
2024-07-27 08:00:00,640.0,8,50-100km,199,354.1229180154594,3251.0,0.10892738173345413,0.10892738173345413
2024-07-27 08:00:00,640.0,8,100-200km,79,-224.90491138369165,1347.0,-0.1669672690302091,0.1669672690302091
2024-07-27 08:00:00,640.0,8,200km+,90,-63.159927220017,1414.0,-0.04466755814711245,0.04466755814711245
2024-07-28 08:00:00,664.0,8,0-25km,0,0.0,0.0,,
2024-07-28 08:00:00,664.0,8,25-50km,4,10.261519785941285,52.0,0.19733691896040934,0.19733691896040934
2024-07-28 08:00:00,664.0,8,50-100km,82,103.0832689843272,1179.0,0.08743279812071858,0.08743279812071858
2024-07-28 08:00:00,664.0,8,100-200km,35,-59.391692257906755,499.0,-0.11902142737055461,0.11902142737055461
2024-07-28 08:00:00,664.0,8,200km+,36,-20.674861768857344,547.0,-0.037796822246539935,0.037796822246539935
2024-07-29 08:00:00,688.0,8,0-25km,0,0.0,0.0,,
2024-07-29 08:00:00,688.0,8,25-50km,13,75.26695199685331,230.0,0.3272476173776231,0.3272476173776231
2024-07-29 08:00:00,688.0,8,50-100km,295,347.98354445463633,5572.0,0.06245217955036546,0.06245217955036546
2024-07-29 08:00:00,688.0,8,100-200km,97,-419.6832534730469,1823.0,-0.23021571775811678,0.23021571775811678
2024-07-29 08:00:00,688.0,8,200km+,136,-113.18549542593861,2341.0,-0.0483492077855355,0.0483492077855355
2024-07-30 08:00:00,712.0,8,0-25km,0,0.0,0.0,,
2024-07-30 08:00:00,712.0,8,25-50km,13,110.84974079217653,218.0,0.508485049505397,0.508485049505397
2024-07-30 08:00:00,712.0,8,50-100km,345,305.66844962982685,6351.0,0.04812918432212673,0.04812918432212673
2024-07-30 08:00:00,712.0,8,100-200km,105,-444.57648944946044,1932.0,-0.23011205458046607,0.23011205458046607
2024-07-30 08:00:00,712.0,8,200km+,131,-72.33859282314535,2436.0,-0.029695645658105643,0.029695645658105643
2024-07-31 08:00:00,736.0,8,0-25km,0,0.0,0.0,,
2024-07-31 08:00:00,736.0,8,25-50km,16,79.9692008015874,240.0,0.3332050033399475,0.3332050033399475
2024-07-31 08:00:00,736.0,8,50-100km,324,487.5281013807947,6278.0,0.0776565946767752,0.0776565946767752
2024-07-31 08:00:00,736.0,8,100-200km,107,-367.5308006156229,2000.0,-0.18376540030781147,0.18376540030781147
2024-07-31 08:00:00,736.0,8,200km+,134,-33.304178697749464,2444.0,-0.013626914360781287,0.013626914360781287
