ds,hours_since_quake,band,n_polygons,activity_mean
2023-02-27,512.0,50-100km,72,0.17059086943038237
2023-02-28,536.0,0-25km,3,0.24659239074197115
2023-02-28,536.0,100-200km,173,0.1580903485615188
2023-02-28,536.0,200km+,3105,0.3135489927060563
2023-02-28,536.0,25-50km,39,0.11695209803232455
2023-02-28,536.0,50-100km,72,0.1731542319695424
2023-03-01,560.0,0-25km,3,0.21531162453800526
2023-03-01,560.0,100-200km,173,0.16090559205193905
2023-03-01,560.0,200km+,3105,0.32971459247960705
2023-03-01,560.0,25-50km,39,0.11597948653351338
2023-03-01,560.0,50-100km,72,0.1755133291075106
2023-03-02,584.0,0-25km,3,0.21752721440133735
2023-03-02,584.0,100-200km,173,0.1640506685182707
2023-03-02,584.0,200km+,3105,0.3435111954811062
2023-03-02,584.0,25-50km,39,0.12101592908150846
2023-03-02,584.0,50-100km,72,0.17723602446217598
2023-03-03,608.0,0-25km,3,0.2197428042646694
2023-03-03,608.0,100-200km,173,0.16402370449200798
2023-03-03,608.0,200km+,3105,0.3550911749103084
2023-03-03,608.0,25-50km,39,0.12304748129413284
2023-03-03,608.0,50-100km,72,0.18192518606386718
2023-03-04,632.0,0-25km,3,0.21974280426466933
2023-03-04,632.0,100-200km,173,0.1660084573389617
2023-03-04,632.0,200km+,3105,0.36445836655779346
2023-03-04,632.0,25-50km,39,0.12898495528496287
2023-03-04,632.0,50-100km,72,0.1873918418395367
2023-03-05,656.0,0-25km,3,0.2197428042646694
2023-03-05,656.0,100-200km,173,0.17886935564749845
2023-03-05,656.0,200km+,3105,0.3954135810994536
2023-03-05,656.0,25-50km,39,0.1539509962369672
2023-03-05,656.0,50-100km,72,0.2027518803375875
2023-03-06,680.0,0-25km,3,0.2363450071088474
2023-03-06,680.0,100-200km,173,0.19715220423811367
2023-03-06,680.0,200km+,3105,0.4311170005105458
2023-03-06,680.0,25-50km,39,0.18526422642331264
2023-03-06,680.0,50-100km,72,0.21453687512232986
2023-03-07,704.0,0-25km,3,0.20720787029213608
2023-03-07,704.0,100-200km,173,0.22347531248267968
2023-03-07,704.0,200km+,3105,0.4788657135888617
2023-03-07,704.0,25-50km,39,0.22374086711275445
2023-03-07,704.0,50-100km,72,0.23973742715358728
2023-03-08,728.0,0-25km,3,0.2340880291259622
2023-03-08,728.0,100-200km,173,0.24258472480702642
2023-03-08,728.0,200km+,3105,0.5157365950161998
2023-03-08,728.0,25-50km,39,0.2651804869440584
2023-03-08,728.0,50-100km,72,0.258580615432284
2023-03-09,752.0,0-25km,3,0.25598769103506763
2023-03-09,752.0,100-200km,173,0.24762419014720488
2023-03-09,752.0,200km+,3105,0.5185233567553812
