window_start_pt,hours_since_quake,distance_band,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,baseline_mean,crisis_mean,tile_coverage_ratio,baseline_mean_overlap,crisis_mean_overlap,tile_overlap_ratio,net_change,phi_aggregate
2023-02-09 08:00:00,88.0,50-100km,665,1092,611,90413.32299826533,95490.9631515937,89481.07618177058,86562.21564520069,135.95988420791778,87.44593695200889,1.6421052631578947,146.45020651680946,141.67302069590949,0.9187969924812031,5077.640153328379,1.0561603089560794
2023-02-10 08:00:00,112.0,0-25km,70,130,65,3456.168824305588,5830.27762609455,3371.309528765314,4696.991851872895,49.37384034722268,44.84828943149654,1.8571428571428572,51.86630044254329,72.26141310573684,0.9285714285714286,2374.1088017889624,1.6869192225486749
2023-02-10 08:00:00,112.0,100-200km,1816,2659,1716,335055.522172083,330009.7477805178,333043.62724420027,313703.8417089463,184.50193952207212,124.11047302764867,1.4642070484581498,194.08136785792556,182.81109656698501,0.9449339207048458,-5045.774391565181,0.9849404828225046
2023-02-10 08:00:00,112.0,200km+,23570,24397,21966,5323253.610813779,5674618.692983913,5281111.058962797,5638167.684637909,225.8486894702494,232.5949376146212,1.03508697496818,240.42206405184362,256.677031987522,0.9319473907509546,351365.0821701344,1.0660057002462486
2023-02-10 08:00:00,112.0,25-50km,406,564,389,154207.02168839076,125474.11421419964,153491.91392902625,122151.24460656375,379.8202504640166,222.47183371311993,1.3891625615763548,394.5807556016099,314.0134822790842,0.958128078817734,-28732.907474191117,0.813673157294664
2023-02-10 08:00:00,112.0,50-100km,667,1150,623,88240.83384705502,97833.4348897565,87264.84203934298,88561.82202267065,132.29510321897305,85.07255207804914,1.7241379310344827,140.07197759124074,142.1538074200171,0.9340329835082459,9592.601042701484,1.108709319988159
2023-02-11 08:00:00,136.0,0-25km,69,131,64,3304.5207132364917,5491.358715766067,3235.753060814599,4383.236107195868,47.8916045396593,41.91876882264173,1.8985507246376812,50.55864157522811,68.48806417493543,0.927536231884058,2186.838002529575,1.6617716129815863
2023-02-11 08:00:00,136.0,100-200km,1848,2664,1779,338238.6343704165,338300.1388858532,336682.7274529776,323227.24957679445,183.02956405325568,126.98954162381875,1.4415584415584415,189.25392212084182,181.69041572613517,0.9626623376623377,61.50451543665258,1.0001818376412002
2023-02-11 08:00:00,136.0,200km+,24299,25007,22621,5386402.921893388,5754889.35642497,5340090.505490463,5716725.8971288195,221.671793978904,230.13113753848802,1.0291370015226964,236.0678354400983,252.71764719193754,0.9309436602329314,368486.4345315816,1.068410484673147
2023-02-11 08:00:00,136.0,25-50km,409,566,393,154315.16708007906,126711.44481950448,153889.27482366504,123414.8561511012,377.2986970173082,223.87181063516692,1.3838630806845966,391.57576291008917,314.0327128526748,0.960880195599022,-27603.722260574577,0.8211211329198113
2023-02-11 08:00:00,136.0,50-100km,687,1159,656,89362.02355379543,99905.81545808775,88638.81892204512,91429.66571510905,130.0757256969366,86.20001333743551,1.6870451237263464,135.12015079580047,139.37449041937356,0.9548762736535662,10543.791904292317,1.117989627864067
2023-02-12 08:00:00,160.0,0-25km,71,128,67,3048.560095529126,5211.083174034712,2992.3677811231614,4232.183008243902,42.93746613421305,40.71158729714619,1.8028169014084507,44.66220568840539,63.166910570804504,0.9436619718309859,2162.523078505586,1.709358848355012
2023-02-12 08:00:00,160.0,100-200km,1761,2602,1693,330730.71622978966,335077.8851614959,328939.97540716914,319676.39745002415,187.8084703178817,128.77705040795385,1.4775695627484384,194.2941378660184,188.82244385707273,0.9613855763770585,4347.168931706226,1.0131441342408785
2023-02-12 08:00:00,160.0,200km+,23050,24559,21774,5282777.553824655,5793900.3758519925,5247628.30284301,5751809.2102302695,229.18774636983318,235.91760152498034,1.065466377440347,241.00433098388032,264.1595118136433,0.9446420824295011,511122.82202733774,1.0967526678569481
2023-02-12 08:00:00,160.0,25-50km,397,558,380,151743.77427858463,128831.5881072356,151210.46279360467,125353.01128488366,382.22613168409225,230.88098227103154,1.4055415617128464,397.922270509486,329.87634548653597,0.9571788413098237,-22912.186171349036,0.8490074055408374
2023-02-12 08:00:00,160.0,50-100km,646,1125,621,87089.80980974312,99177.16200845488,86555.79681668713,90886.21486727809,134.81394707390575,88.15747734084879,1.741486068111455,139.38131532477797,146.35461331284716,0.9613003095975232,12087.352198711757,1.1387918084230273
2023-02-13 08:00:00,184.0,0-25km,72,122,67,3456.0395544965086,5203.193319428338,3383.303223150808,4344.835785446308,48.000549368007064,42.64912556908474,1.6944444444444444,50.497063032101615,64.84829530516878,0.9305555555555556,1747.1537649318298,1.50553639140463
2023-02-13 08:00:00,184.0,100-200km,1810,2547,1738,337770.2700899305,336823.63602080673,336339.7373996247,323341.2144827088,186.61340888946438,132.24328073058766,1.4071823204419889,193.52113774431803,186.04212570926856,0.9602209944751381,-946.634069123771,0.9971974026344245
2023-02-13 08:00:00,184.0,200km+,23307,24267,21884,5380571.96384329,5815070.674213333,5342866.876649124,5776226.853768659,230.85647933424679,239.62874167442754,1.0411893422576908,244.14489474726392,263.94748920529423,0.9389453812159437,434498.7103700433,1.080753256956661
2023-02-13 08:00:00,184.0,25-50km,396,565,386,155714.20514411392,131963.13143128683,155195.95279570733,128556.90982366502,393.2176897578634,233.56306448015368,1.4267676767676767,402.06205387488944,333.04898918047934,0.9747474747474747,-23751.073712827085,0.8474700898942046
2023-02-13 08:00:00,184.0,50-100km,647,1097,626,88596.87639532663,99018.93711134998,88151.07165246691,91118.66764577258,136.93489396495616,90.26338843331813,1.695517774343122,140.8164083905222,145.55697706992424,0.9675425038639877,10422.060716023349,1.117634629346516
2023-02-14 08:00:00,208.0,0-25km,71,131,67,3511.133169433011,5491.234716542694,3457.2694228572745,4507.720002471977,49.45257985116917,41.917822263684684,1.8450704225352113,51.60103616204887,67.2794030219698,0.9436619718309859,1980.1015471096825,1.563949429303314
2023-02-14 08:00:00,208.0,100-200km,1807,2475,1742,337844.7010191007,337285.67066995904,336268.0457423842,325142.32033650915,186.96441672335402,136.2770386545289,1.3696734919756504,193.03561753294156,186.64886356860455,0.9640287769784173,-559.0303491416853,0.9983453037817217
2023-02-14 08:00:00,208.0,200km+,23356,24319,21975,5371579.054383331,5815487.276318859,5336008.09657855,5780948.869180192,229.98711484771925,239.13348724531681,1.0412313752354856,242.82175638582706,263.0693455827164,0.9408717246103785,443908.22193552833,1.0826401729251829
2023-02-14 08:00:00,208.0,25-50km,403,562,393,155886.6129699721,134654.66286170305,155515.98950324353,131390.51911716224,386.8154167989382,239.5990442379058,1.3945409429280398,395.7149860133423,334.32702065435683,0.9751861042183623,-21231.950108269055,0.8637987592150784
2023-02-14 08:00:00,208.0,50-100km,654,1051,629,88860.14262405192,98059.55621961491,88301.05739270175,90829.88918386865,135.87177771261761,93.30119526128917,1.607033639143731,140.383239098095,144.40363940201695,0.9617737003058104,9199.41359556299,1.1035268830760685
2023-02-15 08:00:00,232.0,0-25km,73,112,70,3529.2659345399893,5049.063184781194,3495.7359969015806,4409.56645901559,48.34610869232862,45.08092129268923,1.5342465753424657,49.93908567002258,62.99380655736557,0.958904109589041,1519.7972502412044,1.4306270137841843
2023-02-15 08:00:00,232.0,100-200km,1815,2465,1751,337252.8951816594,334411.53875489836,335821.8584971105,322290.5853959877,185.81426731771867,135.66391024539487,1.3581267217630855,191.7886113632841,184.0608711570461,0.9647382920110192,-2841.35642676102,0.9915749976727982
2023-02-15 08:00:00,232.0,200km+,23299,24084,21840,5359994.721469584,5737329.516538209,5318531.509523985,5702911.929410567,230.05256540922719,238.2216208494523,1.0336924331516375,243.52250501483448,261.1223410902274,0.9373792866646637,377334.79506862536,1.0703983519903857
2023-02-15 08:00:00,232.0,25-50km,400,541,389,155413.76809374266,136262.86830768816,154955.09528017326,133179.871576344,388.5344202343567,251.87221498648458,1.3525,398.34214724980274,342.3647084224782,0.9725,-19150.899786054506,0.876774754122794
2023-02-15 08:00:00,232.0,50-100km,661,1014,635,88537.36118599074,96860.49050469772,87906.30277017776,90689.76208299721,133.94457062933546,95.52316617820289,1.5340393343419063,138.43512247272088,142.81852296534996,0.9606656580937972,8323.129318706982,1.094006972957129
2023-02-16 08:00:00,256.0,0-25km,71,109,68,3541.549417348708,4945.97564413276,3490.7935017768546,4358.716225894927,49.88097770913674,45.37592334066752,1.5352112676056338,51.33519855554198,64.09876802786658,0.9577464788732394,1404.4262267840518,1.396557004091006
2023-02-16 08:00:00,256.0,100-200km,1844,2426,1769,343986.1719110594,344158.5900278761,342344.3510900101,333094.39910492295,186.5434771751949,141.862568024681,1.3156182212581344,193.52422334087623,188.29530757768399,0.9593275488069414,172.41811681666877,1.0005012356044976
