slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,0.10380220992425243,272.0,full_post_peak,24.0,18,18,18,0.2292962098732642,0.46644157204498543,0.588605316544636,24.0,552.0,0.39420766450527056,0.040919626744725365
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,0.2228333706499669,148.0,full_post_peak,24.0,0,0,0,,,,,,,
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,0.11532596949541375,8.0,full_post_peak,24.0,12,12,12,-0.011402420836587155,-0.29969045821070445,0.004533957740473382,24.0,284.0,0.769049993271456,0.08869143606447208
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,0.10126979022728698,8.0,full_post_peak,24.0,14,14,14,0.38085429556677247,1.343035590214855,0.6966505885211005,24.0,328.0,0.38364460668196776,0.0388516088405129
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,0.06567187701157279,8.0,full_post_peak,24.0,13,13,13,-0.12874762837074027,-0.9609313656582891,0.3228186656106782,24.0,308.0,0.8840051101121446,0.05805427486888662
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.10072307092707469,268.0,full_post_peak,24.0,0,0,0,,,,,,,
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.3565980804269134,8.0,full_post_peak,24.0,34,34,34,0.05981096218620305,-0.11236743195065077,0.39699043746968776,24.0,816.0,0.6237477350986944,0.22242724500682928
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.13138418342702196,152.0,full_post_peak,24.0,4,4,4,0.25432828614814096,0.6440619743543099,0.6725974969902275,24.0,92.0,0.5393095670492419,0.07085674708114541
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.2914427860091868,21.0,full_post_peak,24.0,10,10,11,0.4520503780709191,1.1642842220385359,0.7761448629724592,40.0,252.0,0.2583003130390021,0.07527976285913185
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.08464018342954686,152.0,full_post_peak,24.0,8,8,8,0.06052022777175001,-0.1733147078303117,0.8604979457878424,24.0,188.0,0.6053716613593298,0.05123876846050321
