k_ratio,gamma,n_valid,rho_alpha_delta_near,p_alpha_delta_near,rho_alpha_D_peak,p_alpha_D_peak
1.7727272727272727,1.727272727272727,53,0.14626673117239156,0.29598597705842666,0.07563296242541524,0.5903984814222338
1.7727272727272727,2.0,51,-0.05058823529411764,0.7244320060795942,0.03846153846153846,0.7887300725965956
1.9545454545454546,-1.0,17,0.01715686274509804,0.947890881823222,-0.3995098039215687,0.11211790882594826
1.9545454545454546,-0.7272727272727273,22,-0.24562394127611523,0.2705413751806721,-0.14398644833427443,0.5226413445457573
1.9545454545454546,-0.4545454545454546,44,-0.2178999295278365,0.15534194468951734,0.10246652572233966,0.5080580627395239
1.9545454545454546,-0.18181818181818188,71,0.029309188464118043,0.8082904028955551,-0.6504024144869215,8.312547463724948e-10
1.9545454545454546,0.09090909090909083,77,0.16620221883379777,0.14856103126541284,0.31642042168357953,0.005053790698708301
1.9545454545454546,0.36363636363636354,67,0.03172639476414718,0.798824478222634,0.3107989464442494,0.010471418869979326
1.9545454545454546,0.6363636363636362,73,0.10002468221646306,0.39980181594472175,0.26292731087251636,0.024615818017275214
1.9545454545454546,0.909090909090909,63,0.1581221198156682,0.2158173187516137,0.4482046850998464,0.00022984262600742842
1.9545454545454546,1.1818181818181817,54,0.03220888126548504,0.8171534236029869,0.2152468076996379,0.11802706288208653
1.9545454545454546,1.4545454545454541,46,0.02917052112241751,0.8473974218878544,-0.014739438791242674,0.9225502750442487
1.9545454545454546,1.727272727272727,50,0.13459783913565426,0.35137369792475226,0.3684513805522209,0.00846882541925475
1.9545454545454546,2.0,43,0.14104500151011778,0.36697108098979725,-0.03125943823618242,0.8422704504581213
2.1363636363636367,-1.0,14,0.04175824175824176,0.8872869731890637,-0.3758241758241759,0.185410028697123
2.1363636363636367,-0.7272727272727273,21,-0.10519480519480517,0.6499672847296489,-0.3701298701298701,0.09862650693576144
2.1363636363636367,-0.4545454545454546,44,0.1106412966878083,0.47461958684558225,0.19393939393939394,0.20715371043327993
2.1363636363636367,-0.18181818181818188,75,-0.28122332859174964,0.014521241474788666,-0.7817638691322901,1.255907470992089e-16
2.1363636363636367,0.09090909090909083,77,0.06480361743519637,0.575522079148925,0.33918712866081285,0.0025472377674568545
2.1363636363636367,0.36363636363636354,64,-0.1112179487179487,0.38161407271048786,0.24995421245421243,0.04637497250879823
2.1363636363636367,0.6363636363636362,67,0.04525500838055712,0.7161242145440617,0.024024263708196984,0.8469791810414966
2.1363636363636367,0.909090909090909,58,0.05730720723491957,0.669168537804026,0.2608816020179028,0.0479328561505454
2.1363636363636367,1.1818181818181817,48,-0.149587494572297,0.31021166489833535,-0.1866044290056448,0.2041046612704844
2.1363636363636367,1.4545454545454541,49,0.038367346938775505,0.7935261244294718,0.13683673469387753,0.3484757476343837
2.1363636363636367,1.727272727272727,46,-0.03558433549182855,0.8143817797350323,0.016836262719703978,0.9115732630521068
2.1363636363636367,2.0,50,-0.21430972388955583,0.13504630439439763,-0.15572629051620648,0.28018462412619416
2.3181818181818183,-1.0,17,0.41421568627450983,0.09833118794961317,-0.2573529411764706,0.3186676476453986
2.3181818181818183,-0.7272727272727273,18,0.23632610939112486,0.34510124880977866,-0.31475748194014447,0.20331354771785812
2.3181818181818183,-0.4545454545454546,40,-0.11219512195121951,0.4906568675001205,-0.03395872420262664,0.8352108281603241
2.3181818181818183,-0.18181818181818188,76,-0.2244976076555024,0.051217498985871364,-0.623485987696514,1.7904216305196658e-09
2.3181818181818183,0.09090909090909083,72,0.21030291337063478,0.07620618511542124,0.5109653353913436,4.513959244932529e-06
