slug,short_name,disaster_type,event_type,r_bin_km,delta_at_peak,n_tiles,t_snap,t_peak_hours,t_snap_abs_diff_h,delta_near,D_peak,alpha
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,120.0,-0.25262671049557806,334.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,130.0,-0.28786344072567427,479.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,140.0,-0.21000139150356156,368.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,150.0,-0.24406119622728917,345.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,160.0,-0.22548970512346034,483.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,170.0,-0.18153346272057735,540.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,180.0,-0.23610454898816746,459.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,190.0,-0.089809776954625,489.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,200.0,-0.02935034572774642,541.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,10.0,-0.8162115841978534,12.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,20.0,-0.7481231986065363,45.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,30.0,-0.4248325939616736,56.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,40.0,-0.36701408941272373,72.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,50.0,-0.2846829210200449,46.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,60.0,-0.4671069996483431,20.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,70.0,-0.6668060967907485,30.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,80.0,-0.7758223497927215,17.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,90.0,-0.5296148059686908,19.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,100.0,-0.6642143290020068,9.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,110.0,-0.4568226159137958,8.0,63.0,63.0,0.0,-0.4043102839178534,0.5637501440286489,0.3873447555457084
moldova_flooding_2024,moldova,flood,EVAC,0.0,0.020017963678901518,26.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,10.0,-0.041308377298389765,56.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,20.0,-0.013887015367031963,85.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,30.0,0.043693878727761426,123.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,40.0,0.04938442949645605,163.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,50.0,0.0004499144582783554,220.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,60.0,0.07810068573888396,248.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,70.0,0.1916788497310593,313.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,80.0,0.0928575462384984,334.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,90.0,0.019077239816164715,294.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,100.0,0.05630023570878118,324.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,110.0,0.042597923658008074,263.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,120.0,0.03681793721263449,207.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,130.0,0.023630799847391692,167.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,140.0,0.11503003567552184,187.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,150.0,0.06309092831159968,180.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,160.0,0.0383789770857752,119.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,170.0,0.04578519592268604,159.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,180.0,0.07091771506695044,130.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,190.0,0.053280075662795356,103.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
moldova_flooding_2024,moldova,flood,EVAC,200.0,0.030495890229540468,102.0,513.0,513.0,0.0,-0.028757709768474,0.0536562673777671,0.0706355627672506
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,0.0,0.08476633631887376,40.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,10.0,0.07916130888868556,116.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,20.0,-0.038200160685106566,18.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,30.0,0.03392631473453123,110.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,40.0,0.0582584670616666,147.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,50.0,0.09483699728193651,88.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,60.0,0.052456960120254026,163.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,70.0,0.021472802317476836,199.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,80.0,0.0307198269386757,222.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,90.0,0.04074667323209402,209.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,100.0,0.026416733125105507,240.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,110.0,0.02134706124156649,307.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,120.0,0.020783160266478307,376.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,130.0,0.013021412218994222,370.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,140.0,0.027715347250582223,433.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,150.0,0.035336946897659205,418.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,160.0,0.02361490600079441,394.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,170.0,0.029583191145766463,602.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,180.0,0.04721273900213796,537.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,190.0,0.027715900213246325,440.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,200.0,0.02239778850846008,365.0,161.13333333333333,161.13333333333333,0.0,0.0460209237770549,0.0395090968309567,0.222634525318664
spain_flood,spain_flood,flood,INFL,0.0,0.20367226532876637,66.0,120.5,120.5,0.0,0.2026389717764428,0.1268297089427715,0.0575378664819348
spain_flood,spain_flood,flood,INFL,10.0,0.3123900877319885,175.0,120.5,120.5,0.0,0.2026389717764428,0.1268297089427715,0.0575378664819348
spain_flood,spain_flood,flood,INFL,20.0,0.2882295205966845,191.0,120.5,120.5,0.0,0.2026389717764428,0.1268297089427715,0.0575378664819348
spain_flood,spain_flood,flood,INFL,30.0,0.1817201872879728,194.0,120.5,120.5,0.0,0.2026389717764428,0.1268297089427715,0.0575378664819348
spain_flood,spain_flood,flood,INFL,40.0,0.20264079094154153,195.0,120.5,120.5,0.0,0.2026389717764428,0.1268297089427715,0.0575378664819348
