slug,r_bin_km,hours_since_peak,delta,n_tiles
flooding_in_central_and_eastern_europe_sept_16_2024,70.0,120.0,0.131857059274872,1172.0
flooding_in_central_and_eastern_europe_sept_16_2024,80.0,120.0,0.11268885993139888,1295.0
flooding_in_central_and_eastern_europe_sept_16_2024,90.0,120.0,0.1178105895515813,1421.0
flooding_in_central_and_eastern_europe_sept_16_2024,100.0,120.0,0.09510392855871008,1498.0
flooding_in_central_and_eastern_europe_sept_16_2024,110.0,120.0,0.12319990552665816,1636.0
flooding_in_central_and_eastern_europe_sept_16_2024,120.0,120.0,0.1369579631998108,1571.0
flooding_in_central_and_eastern_europe_sept_16_2024,130.0,120.0,0.12001324357063847,1728.0
flooding_in_central_and_eastern_europe_sept_16_2024,140.0,120.0,0.13536798905834702,1883.0
flooding_in_central_and_eastern_europe_sept_16_2024,150.0,120.0,0.163106692225657,2031.0
flooding_in_central_and_eastern_europe_sept_16_2024,160.0,120.0,0.1740359405392895,2066.0
flooding_in_central_and_eastern_europe_sept_16_2024,170.0,120.0,0.15078049365400448,2029.0
flooding_in_central_and_eastern_europe_sept_16_2024,180.0,120.0,0.12474571592953576,2010.0
flooding_in_central_and_eastern_europe_sept_16_2024,190.0,120.0,0.10532767723643155,2071.0
flooding_in_central_and_eastern_europe_sept_16_2024,200.0,120.0,0.0899467724810703,1967.0
flooding_in_central_and_eastern_europe_sept_16_2024,0.0,144.0,0.0897991749142697,89.0
flooding_in_central_and_eastern_europe_sept_16_2024,10.0,144.0,0.11259915150050803,278.0
flooding_in_central_and_eastern_europe_sept_16_2024,20.0,144.0,0.07962361589847888,417.0
flooding_in_central_and_eastern_europe_sept_16_2024,30.0,144.0,0.09304582508131753,566.0
flooding_in_central_and_eastern_europe_sept_16_2024,40.0,144.0,0.0896636542579563,726.0
flooding_in_central_and_eastern_europe_sept_16_2024,50.0,144.0,0.13819260345411677,938.0
flooding_in_central_and_eastern_europe_sept_16_2024,60.0,144.0,0.14132520362487555,1116.0
flooding_in_central_and_eastern_europe_sept_16_2024,70.0,144.0,0.1222460684394564,1198.0
flooding_in_central_and_eastern_europe_sept_16_2024,80.0,144.0,0.1289544130597322,1330.0
flooding_in_central_and_eastern_europe_sept_16_2024,90.0,144.0,0.115392131339072,1450.0
flooding_in_central_and_eastern_europe_sept_16_2024,100.0,144.0,0.09059948751987967,1532.0
flooding_in_central_and_eastern_europe_sept_16_2024,110.0,144.0,0.12239772001780835,1688.0
flooding_in_central_and_eastern_europe_sept_16_2024,120.0,144.0,0.13349943256010577,1590.0
flooding_in_central_and_eastern_europe_sept_16_2024,130.0,144.0,0.11195997743754593,1743.0
flooding_in_central_and_eastern_europe_sept_16_2024,140.0,144.0,0.13254058916832911,1935.0
flooding_in_central_and_eastern_europe_sept_16_2024,150.0,144.0,0.15453529397817722,2065.0
flooding_in_central_and_eastern_europe_sept_16_2024,160.0,144.0,0.1809930630559664,2093.0
flooding_in_central_and_eastern_europe_sept_16_2024,170.0,144.0,0.15681102681743408,2051.0
flooding_in_central_and_eastern_europe_sept_16_2024,180.0,144.0,0.12376383929278556,2063.0
flooding_in_central_and_eastern_europe_sept_16_2024,190.0,144.0,0.10775932711337277,2114.0
flooding_in_central_and_eastern_europe_sept_16_2024,200.0,144.0,0.09102161613904558,2014.0
flooding_in_central_and_eastern_europe_sept_16_2024,0.0,168.0,0.11943898215783166,87.0
flooding_in_central_and_eastern_europe_sept_16_2024,10.0,168.0,0.11422389415692402,279.0
flooding_in_central_and_eastern_europe_sept_16_2024,20.0,168.0,0.09469869265357511,423.0
flooding_in_central_and_eastern_europe_sept_16_2024,30.0,168.0,0.11288070718078691,578.0
flooding_in_central_and_eastern_europe_sept_16_2024,40.0,168.0,0.08587709342639771,728.0
flooding_in_central_and_eastern_europe_sept_16_2024,50.0,168.0,0.1644870613884537,933.0
flooding_in_central_and_eastern_europe_sept_16_2024,60.0,168.0,0.15657069462283912,1129.0
flooding_in_central_and_eastern_europe_sept_16_2024,70.0,168.0,0.13625978451225662,1217.0
