root,key,category,n_runs,first_datetime,last_datetime,latest_path
outputs,time_alignment,cross_disaster,1,2026-02-09 22:58:13,2026-02-09 22:58:13,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/time_alignment
outputs,trackpath,run_batch,1,2026-02-08 21:58:06,2026-02-08 21:58:06,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath
outputs,unified_path_h8_$(date +%Y%m%d_%H%M%S),run_batch,1,2026-02-25 14:14:39,2026-02-25 14:14:39,/mnt/e/newdesktop/Disaster/outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S)
outputs,unified_radial8h,run_batch,1,2026-02-23 00:12:47,2026-02-23 00:12:47,/mnt/e/newdesktop/Disaster/outputs/_runs/unified_radial8h_20260223_001247
outputs,unified_static_h8,run_batch,1,2026-02-24 23:55:40,2026-02-24 23:55:40,/mnt/e/newdesktop/Disaster/outputs/_runs/unified_static_h8
outputs,v1,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1
outputs,v2,run_batch,1,2026-02-08 20:54:17,2026-02-08 20:54:17,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2
outputs,v3,run_batch,1,2026-02-08 22:04:25,2026-02-08 22:04:25,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v3
outputs,v4_yagi_fix,run_batch,1,2026-02-08 21:58:12,2026-02-08 21:58:12,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v4_yagi_fix
outputs,wsa_full_pipeline_mnt,run_batch,1,2026-02-22 20:05:40,2026-02-22 20:05:40,/mnt/e/newdesktop/Disaster/outputs/_runs/wsa_full_pipeline_mnt_20260222_200540
outputs_trackpath_v3,_tmp_phase0,tmp,1,2026-02-08 20:54:11,2026-02-08 20:54:11,/mnt/e/newdesktop/Disaster/outputs_trackpath_v3/_tmp_phase0
outputs_trackpath_v3,_tmp_phase1_minTiles0,tmp,1,2026-02-08 20:54:11,2026-02-08 20:54:11,/mnt/e/newdesktop/Disaster/outputs_trackpath_v3/_tmp_phase1_minTiles0
outputs_trackpath_v3,_tmp_phase1_minTiles50,tmp,1,2026-02-08 20:54:11,2026-02-08 20:54:11,/mnt/e/newdesktop/Disaster/outputs_trackpath_v3/_tmp_phase1_minTiles50
