datetime,source,root,category,key,path,mtime,has_log,has_tables,has_figures
2026-02-08 22:01:23,dir_mtime,outputs,cross_disaster,svd_modes,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_modes,2026-02-08 22:01:23,0,0,0
2026-02-08 22:04:25,anchor_file_mtime,outputs,run_batch,v3,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v3,2026-02-08 22:03:25,1,0,0
2026-02-08 22:04:54,anchor_file_mtime,outputs,cross_disaster,svd_separability,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_separability,2026-02-08 21:59:07,1,1,1
2026-02-08 22:04:59,anchor_file_mtime,outputs,cross_disaster,svd_separability_nullN200,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_separability_nullN200,2026-02-08 21:59:36,1,1,1
2026-02-08 22:05:06,anchor_file_mtime,outputs,cross_disaster,svd_sensitivity_rmax,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_sensitivity_rmax,2026-02-08 22:00:18,1,1,1
2026-02-08 22:05:14,anchor_file_mtime,outputs,cross_disaster,rank1_dynamics,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/rank1_dynamics,2026-02-08 22:02:07,1,1,1
2026-02-09 17:10:29,anchor_file_mtime,outputs,cross_disaster,g1_model_comparison_tier1,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_model_comparison_tier1,2026-02-09 17:10:29,1,1,1
2026-02-09 22:58:13,anchor_file_mtime,outputs,cross_disaster,time_alignment,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/time_alignment,2026-02-09 17:10:15,1,1,0
2026-02-09 22:59:49,anchor_file_mtime,outputs,cross_disaster,rank1_dynamics_sigma070,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/rank1_dynamics_sigma070,2026-02-09 22:59:49,1,1,1
2026-02-09 23:00:41,anchor_file_mtime,outputs,cross_disaster,rank1_dynamics_sigma070_min4,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/rank1_dynamics_sigma070_min4,2026-02-09 23:00:41,1,1,1
2026-02-09 23:02:49,dir_mtime,outputs,cross_disaster,g1_timeseries_viz_helene_milton,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_timeseries_viz_helene_milton,2026-02-09 23:02:49,0,1,1
2026-02-09 23:06:50,anchor_file_mtime,outputs,cross_disaster,g1_model_comparison_all,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_model_comparison_all,2026-02-09 23:06:50,1,1,1
