window_start_pt,hours_since_quake,only_hour_pt,outflow_phi_threshold,inflow_phi_threshold,outflow_tile_count,inflow_tile_count,stable_tile_count,unknown_tile_count,net_population_change,outflow_centroid_lat,outflow_centroid_lon,inflow_centroid_lat,inflow_centroid_lon,outflow_avg_distance,inflow_avg_distance
2024-07-11,264.0,0,1.1,1.1,894,37,0,65,-8113.613973634657,11.248394595070044,-61.16915954182794,10.933907409530999,-61.34739406208573,152.5250432400549,117.8977503353391
2024-07-12,288.0,0,1.1,1.1,871,61,0,61,-4676.722150971789,11.23298705263296,-61.1656170748781,11.618363642922619,-61.31019548174118,153.24465267971607,128.8231310472281
2024-07-13,312.0,0,1.1,1.1,875,64,0,60,-5990.211130615102,11.23246083936697,-61.16220390290864,11.966976476888645,-61.1653689320113,152.4660277028427,133.79744539815664
2024-07-14,336.0,0,1.1,1.1,900,46,0,55,-5915.402386734557,11.237077908457538,-61.15866093140568,12.40168863596538,-61.161566659246056,151.87789691750564,137.3122086560979
2024-07-15,360.0,0,1.1,1.1,891,40,0,59,-8387.958591604784,11.228147794627864,-61.17042650887733,12.744177897025246,-61.020782415901905,150.95919649006336,170.28923120115607
2024-07-16,384.0,0,1.1,1.1,886,47,0,56,-8241.551222539032,11.232969634977884,-61.17179661148402,12.449058308304746,-61.00382755575581,151.71265757339586,150.66222699328654
2024-07-17,408.0,0,1.1,1.1,869,69,0,60,-6751.470299324717,11.248429170383831,-61.16826457423415,11.354487391101493,-61.18075897778729,152.3764196804931,139.25786639150505
2024-07-18,432.0,0,1.1,1.1,892,51,0,59,-7645.554223352721,11.2564489585014,-61.16846910018466,11.085123074190177,-61.162588111737925,152.06912678143505,133.7589675897576
2024-07-19,456.0,0,1.1,1.1,898,47,0,44,-7735.828045074063,11.250657344110667,-61.16634930920585,11.224054925056723,-61.25967888506791,152.0862871660152,132.6332730044378
2024-07-20,480.0,0,1.1,1.1,895,45,0,56,-8135.9642290887,11.244279479884723,-61.162361434248695,11.88520423071633,-61.120234163653286,151.9457373740296,135.52674692167506
2024-07-21,504.0,0,1.1,1.1,912,29,0,59,-9931.13468848985,11.260922926080344,-61.15883018168756,11.329746720142868,-60.99427663875484,151.66893268927672,135.76543509012342
2024-07-22,528.0,0,1.1,1.1,895,41,0,53,-9200.76946119546,11.255922751921254,-61.164877758273434,11.024682346551126,-61.268750369092544,153.03350687686944,123.55329433785502
2024-07-23,552.0,0,1.1,1.1,885,53,0,55,-6874.623484907825,11.24759163387796,-61.17052623018074,11.232515270823368,-61.160462298159466,152.7461517804967,130.9728546431574
2024-07-24,576.0,0,1.1,1.1,882,57,0,64,-5785.734684291143,11.24404050188931,-61.169461597235475,11.471078663568747,-61.16608907360097,152.70471145418938,127.92746189193315
2024-07-25,600.0,0,1.1,1.1,895,45,0,59,-6861.699569152943,11.254700714055126,-61.16837677102372,10.877429549198203,-61.32029540297372,152.4572678461338,124.85539365960534
2024-07-26,624.0,0,1.1,1.1,902,38,0,49,-8722.670291291714,11.250425259853762,-61.16691625614856,11.00509752809136,-61.29825459060969,152.6157301982732,121.63740816842531
2024-07-27,648.0,0,1.1,1.1,900,41,0,60,-9510.66058977407,11.24553235977724,-61.16397798995192,11.706659830989844,-60.97690745312385,152.0327777785226,127.28923279814587
2024-07-28,672.0,0,1.1,1.1,904,41,0,59,-10903.651153997165,11.25879704709163,-61.156923483445446,11.662324023190855,-61.16233587814281,151.74801774925007,130.67740841507162
2024-07-29,696.0,0,1.1,1.1,905,42,0,47,-9973.633390319163,11.251915829201042,-61.166975278425056,11.175929318434026,-61.193883098430625,152.18640855539337,128.33483146411157
2024-07-30,720.0,0,1.1,1.1,896,42,0,54,-8983.515369892935,11.246331742709007,-61.16915476917552,11.398868727589969,-61.340561053145166,152.79795202366049,118.88375650784461
2024-07-31,744.0,0,1.1,1.1,906,32,0,59,-11144.794312018723,11.24934146313919,-61.169627459911254,11.336852088238755,-61.18694167269506,152.44028099881606,128.81428343477887
