window_start_pt,hours_since_quake,distance_band,n_tiles,baseline_sum,crisis_sum,net_change,phi_aggregate
2024-07-27,648.0,100-200km,553,106714.51382172664,99791.7002871848,-6922.813534541841,0.9351277226815947
2024-07-27,648.0,200km+,207,31041.95251661915,28527.76998419149,-2514.182532427658,0.9190069461293834
2024-07-27,648.0,50-100km,225,38026.30869304621,36784.049656405194,-1242.259036641015,0.9673315901717228
2024-07-28,672.0,100-200km,553,104058.477499751,96387.23173754438,-7671.245762206614,0.9262794733641478
2024-07-28,672.0,200km+,208,31050.023339174782,28168.315329382433,-2881.70800979235,0.9071914382055682
2024-07-28,672.0,50-100km,228,37835.440740856866,35974.636509634736,-1860.8042312221296,0.9508184867207659
2024-07-29,696.0,100-200km,548,109931.69889816322,103100.60709745457,-6831.091800708644,0.9378605818960669
2024-07-29,696.0,200km+,206,31774.548094561622,29370.980315531575,-2403.567779030047,0.924355563708507
2024-07-29,696.0,50-100km,225,37875.375063287494,36433.7322640488,-1441.6427992386962,0.961937200705477
2024-07-30,720.0,100-200km,552,110869.96145602794,103790.70333821564,-7079.258117812307,0.936148096158399
2024-07-30,720.0,200km+,206,31593.811867001805,29526.787647858142,-2067.024219143663,0.934575029190999
2024-07-30,720.0,50-100km,222,38051.10387294415,36622.918898422155,-1428.1849745219952,0.9624666611699144
2024-07-31,744.0,100-200km,554,110194.197978117,102131.11638852984,-8063.081589587149,0.9268284379982659
2024-07-31,744.0,200km+,207,31564.006626987913,29008.12708493979,-2555.879542048122,0.9190255035663695
2024-07-31,744.0,50-100km,222,37801.18344265518,36062.111307628154,-1739.072135027025,0.9539942410092738
